PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ACKLEY, DH; HINTON, GE; SEJNOWSKI, TJ								A LEARNING ALGORITHM FOR BOLTZMANN MACHINES								COGNITIVE SCIENCE				9	1			147	169					1985	1985																		0364-0213			WOS:A1985AFZ2900007		
J	AMARI, S				Amari, Shun-ichi/A-5901-2016				A THEORY OF ADAPTIVE PATTERN CLASSIFIERS								IEEE TRANSACTIONS ON ELECTRONIC COMPUTERS				EC16	3			299	+		10.1109/PGEC.1967.264665			1967	1967																		0367-7508			WOS:A19679597000005		
J	AMIT, Y; GRENANDER, U; PICCIONI, M								STRUCTURAL IMAGE-RESTORATION THROUGH DEFORMABLE TEMPLATES								JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION				86	414			376	387		10.2307/2290581			JUN 1991	1991																		0162-1459			WOS:A1991FN78900025		
J	ANDERSON, JA; SILVERSTEIN, JW; RITZ, SA; JONES, RS								DISTINCTIVE FEATURES, CATEGORICAL PERCEPTION, AND PROBABILITY-LEARNING - SOME APPLICATIONS OF A NEURAL MODEL								PSYCHOLOGICAL REVIEW				84	5			413	451		10.1037//0033-295X.84.5.413			1977	1977																		0033-295X			WOS:A1977DT98200001		
J	BAJCSY, R; KOVACIC, S				kovacic, stane/B-7926-2009				MULTIRESOLUTION ELASTIC MATCHING								COMPUTER VISION GRAPHICS AND IMAGE PROCESSING				46	1			1	21		10.1016/S0734-189X(89)80014-3			APR 1989	1989																		0734-189X			WOS:A1989T830200001		
J	BALDI, P; HORNIK, K								NEURAL NETWORKS AND PRINCIPAL COMPONENT ANALYSIS - LEARNING FROM EXAMPLES WITHOUT LOCAL MINIMA								NEURAL NETWORKS				2	1			53	58		10.1016/0893-6080(89)90014-2			1989	1989																		0893-6080			WOS:A1989R697100004		
B	BARRON, AR						ROUSSAS, G		COMPLEXITY REGULARIZATION WITH APPLICATION TO ARTIFICIAL NEURAL NETWORKS								NONPARAMETRIC FUNCTIONAL ESTIMATION AND RELATED TOPICS		NATO ADVANCED SCIENCE INSTITUTES SERIES, SERIES C, MATHEMATICAL AND PHYSICAL SCIENCES		335				561	576					1991	1991						NATO ADVANCED STUDY INST ON NONPARAMETRIC FUNCTIONAL ESTIMATION AND RELATED TOPICSNATO ADVANCED STUDY INST ON NONPARAMETRIC FUNCTIONAL ESTIMATION AND RELATED TOPICS	JUL 29-AUG 10, 1990JUL 29-AUG 10, 1990	NATO, DIV SCI AFFAIRSNATO, DIV SCI AFFAIRS	SPETSES, GREECESPETSES, GREECE											0-7923-1226-0	WOS:A1991BV17U00042		
B	BIENENSTOCK, E; DOURSAT, R						PERSONNAZ, L; DREYFUS, G		ELASTIC MATCHING AND PATTERN-RECOGNITION IN NEURAL NETWORKS								NEURAL NETWORKS FROM MODELS TO APPLICATIONS								472	482					1989	1989						CONF ON NEURAL NETWORKS FROM MODELS TO APPLICATIONS ( NEURO 88 )CONF ON NEURAL NETWORKS FROM MODELS TO APPLICATIONS ( NEURO 88 )	JUN 06-09, 1988JUN 06-09, 1988	VILLE PARIS; ECOLE NATL SUPER TELECOMMUN; DIRECT RECH ETUD & TECH; SECRETARIAT GEN DEF NATL FRANCE; CHAMBRE COMMERCE NIMES; COMMISS ENERGIE ATOM; ASSOC FRANCO ISRAELIENNE RECH SCI & TECH; LAB ELECTR & PHYS APPLVILLE PARIS; ECOLE NATL SUPER TELECOMMUN; DIRECT RECH ETUD & TECH; SECRETARIAT GEN DEF NATL FRANCE; CHAMBRE COMMERCE NIMES; COMMISS ENERGIE ATOM; ASSOC FRANCO ISRAELIENNE RECH SCI & TECH; LAB ELECTR & PHYS APPL	ECOLE SUPER PHYS & CHEM IND, PARIS, FRANCEECOLE SUPER PHYS & CHEM IND, PARIS, FRANCE											2-903667-03-9	WOS:A1989BP89K00052		
J	BOURLARD, H; KAMP, Y								AUTO-ASSOCIATION BY MULTILAYER PERCEPTRONS AND SINGULAR VALUE DECOMPOSITION								BIOLOGICAL CYBERNETICS				59	4-5			291	294		10.1007/BF00332918			1988	1988																		0340-1200			WOS:A1988Q020300009	3196773	
J	BOURLARD, H; WELLEKENS, CJ								LINKS BETWEEN MARKOV-MODELS AND MULTILAYER PERCEPTRONS								IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE				12	12			1167	1178		10.1109/34.62605			DEC 1990	1990																		0162-8828			WOS:A1990EN50000004		
J	BREIMAN, L; FRIEDMAN, JH								ESTIMATING OPTIMAL TRANSFORMATIONS FOR MULTIPLE-REGRESSION AND CORRELATION								JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION				80	391			580	598		10.2307/2288473			1985	1985																		0162-1459			WOS:A1985AQD1400009		
J	BURR, DJ								ELASTIC MATCHING OF LINE DRAWINGS								IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE				3	6			708	713					1981	1981																		0162-8828			WOS:A1981MR99600015	21868995	
J	CARNEVALI, P; PATARNELLO, S								EXHAUSTIVE THERMODYNAMICAL ANALYSIS OF BOOLEAN LEARNING NETWORKS								EUROPHYSICS LETTERS				4	10			1199	1204		10.1209/0295-5075/4/10/020			NOV 15 1987	1987																		0295-5075			WOS:A1987K747600020		
