PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	AGOGINO, AM; REGE, A								IDES - INFLUENCE DIAGRAM BASED EXPERT SYSTEM								MATHEMATICAL MODELLING				8				227	233		10.1016/0270-0255(87)90579-3			1987	1987																		0270-0255			WOS:A1987G244400053		
J	BLUM, RL								DISCOVERY, CONFIRMATION, AND INCORPORATION OF CAUSAL RELATIONSHIPS FROM A LARGE TIME-ORIENTED CLINICAL-DATA BASE - THE RX PROJECT								COMPUTERS AND BIOMEDICAL RESEARCH				15	2			164	187		10.1016/0010-4809(82)90035-0			1982	1982																		0010-4809			WOS:A1982NL92500006	7083828	
B	BUNTINE, W			AMER ASSOC ARTIFICIAL INTELLIGENCE					MYTHS AND LEGENDS IN LEARNING CLASSIFICATION RULES								PROCEEDINGS : EIGHTH NATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE, VOLS 1 AND 2								736	742					1990	1990						8TH NATIONAL CONF ON ARTIFICIAL INTELLIGENCE ( AAAI-90 )8TH NATIONAL CONF ON ARTIFICIAL INTELLIGENCE ( AAAI-90 )	JUL 29-AUG 03, 1990JUL 29-AUG 03, 1990		BOSTON, MABOSTON, MA											0-262-51057-X	WOS:A1990BT11G00110		
J	CHOW, CK; LIU, CN								APPROXIMATING DISCRETE PROBABILITY DISTRIBUTIONS WITH DEPENDENCE TREES								IEEE TRANSACTIONS ON INFORMATION THEORY				14	3			462	+		10.1109/TIT.1968.1054142			1968	1968																		0018-9448			WOS:A1968B303900013		
B	FUNG, RM; CRAWFORD, SL			AMER ASSOC ARTIFICIAL INTELLIGENCE					CONSTRUCTOR - A SYSTEM FOR THE INDUCTION OF PROBABILISTIC MODELS								PROCEEDINGS : EIGHTH NATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE, VOLS 1 AND 2								762	769					1990	1990						8TH NATIONAL CONF ON ARTIFICIAL INTELLIGENCE ( AAAI-90 )8TH NATIONAL CONF ON ARTIFICIAL INTELLIGENCE ( AAAI-90 )	JUL 29-AUG 03, 1990JUL 29-AUG 03, 1990		BOSTON, MABOSTON, MA											0-262-51057-X	WOS:A1990BT11G00114		
B	GEIGER, D; PAZ, A; PEARL, J			AMER ASSOC ARTIFICIAL INTELLIGENCE					LEARNING CAUSAL TREES FROM DEPENDENCE INFORMATION								PROCEEDINGS : EIGHTH NATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE, VOLS 1 AND 2								770	776					1990	1990						8TH NATIONAL CONF ON ARTIFICIAL INTELLIGENCE ( AAAI-90 )8TH NATIONAL CONF ON ARTIFICIAL INTELLIGENCE ( AAAI-90 )	JUL 29-AUG 03, 1990JUL 29-AUG 03, 1990		BOSTON, MABOSTON, MA											0-262-51057-X	WOS:A1990BT11G00115		
J	GLYMOUR, C; SPIRTES, P								LATENT-VARIABLES, CAUSAL-MODELS AND OVERIDENTIFYING CONSTRAINTS								JOURNAL OF ECONOMETRICS				39	1-2			175	198		10.1016/0304-4076(88)90044-9			SEP-OCT 1988	1988																		0304-4076			WOS:A1988P991600008		
J	HECKERMAN, D								PROBABILISTIC SIMILARITY NETWORKS								NETWORKS				20	5			607	636		10.1002/net.3230200508			AUG 1990	1990																		0028-3045	1097-0037		WOS:A1990DT23100007		
