PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
S	Beymer, D; McLauchlan, P; Coifman, B; Malik, J			IEEE COMP SOC	Coifman, Benjamin/N-1379-2013				A real-time computer vision system for measuring traffic parameters								1997 IEEE COMPUTER SOCIETY CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION, PROCEEDINGS		PROCEEDINGS / CVPR, IEEE COMPUTER SOCIETY CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION						495	501		10.1109/CVPR.1997.609371			1997	1997						1997 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR 97)1997 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR 97)	JUN 17-19, 1997JUN 17-19, 1997	IEEE Comp Soc, Tech Comm Pattern Anal & Machine IntelligenceIEEE Comp Soc, Tech Comm Pattern Anal & Machine Intelligence	SAN JUAN, PRSAN JUAN, PR									1063-6919		0-7803-4236-4	WOS:A1997BJ30G00078		
S	Forsyth, DA; Fleck, MM			IEEE COMP SOC					Body plans								1997 IEEE COMPUTER SOCIETY CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION, PROCEEDINGS		PROCEEDINGS / CVPR, IEEE COMPUTER SOCIETY CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION						678	683		10.1109/CVPR.1997.609399			1997	1997						1997 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR 97)1997 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR 97)	JUN 17-19, 1997JUN 17-19, 1997	IEEE Comp Soc, Tech Comm Pattern Anal & Machine IntelligenceIEEE Comp Soc, Tech Comm Pattern Anal & Machine Intelligence	SAN JUAN, PRSAN JUAN, PR									1063-6919		0-7803-4236-4	WOS:A1997BJ30G00106		
J	Forsyth, DA; Fleck, MM								Automatic detection of human nudes								INTERNATIONAL JOURNAL OF COMPUTER VISION				32	1			63	77		10.1023/A:1008145029462			AUG 1999	1999						6th International Conference on Computer Vision6th International Conference on Computer Vision	JAN 04-07, 1998JAN 04-07, 1998	IEEE Comp SocIEEE Comp Soc	BOMBAY, INDIABOMBAY, INDIA									0920-5691	1573-1405		WOS:000082663800005		
S	Heisele, B; Wohler, C						Jain, AK; Venkatesh, S; Lovell, BC		Motion-based recognition of pedestrians								FOURTEENTH INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION, VOLS 1 AND 2		INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION						1325	1330					1998	1998						14th International Conference on Pattern Recognition14th International Conference on Pattern Recognition	AUG 16-20, 1998AUG 16-20, 1998	Int Assoc Pattern Recognit; Australian Pattern Recognit SocInt Assoc Pattern Recognit; Australian Pattern Recognit Soc	BRISBANE, AUSTRALIABRISBANE, AUSTRALIA									1051-4651		0-8186-8512-3	WOS:000075882100346		
S	Itti, L; Koch, C						Rogowitz, BE; Pappas, TN		A comparison of feature combination strategies for saliency-based visual attention systems								HUMAN VISION AND ELECTRONIC IMAGING IV		PROCEEDINGS OF THE SOCIETY OF PHOTO-OPTICAL INSTRUMENTATION ENGINEERS (SPIE)		3644				473	482		10.1117/12.348467			1999	1999						Conference on Human Vision and Electronic Imaging IVConference on Human Vision and Electronic Imaging IV	JAN 25-28, 1999JAN 25-28, 1999	SPIE; Soc Imaging Sci & TechnolSPIE; Soc Imaging Sci & Technol	SAN JOSE, CASAN JOSE, CA									0277-786X		0-8194-3115-X	WOS:000081058100045		
J	Itti, L; Koch, C; Niebur, E					Koch, Christof/0000-0001-6482-8067			A model of saliency-based visual attention for rapid scene analysis								IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE				20	11			1254	1259		10.1109/34.730558			NOV 1998	1998																		0162-8828	1939-3539		WOS:000076990100010		
S	Lipson, P; Grimson, E; Sinha, P			IEEE COMP SOC					Configuration based scene classification and image indexing								1997 IEEE COMPUTER SOCIETY CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION, PROCEEDINGS		PROCEEDINGS / CVPR, IEEE COMPUTER SOCIETY CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION						1007	1013		10.1109/CVPR.1997.609453			1997	1997						1997 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR 97)1997 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR 97)	JUN 17-19, 1997JUN 17-19, 1997	IEEE Comp Soc, Tech Comm Pattern Anal & Machine IntelligenceIEEE Comp Soc, Tech Comm Pattern Anal & Machine Intelligence	SAN JUAN, PRSAN JUAN, PR									1063-6919		0-7803-4236-4	WOS:A1997BJ30G00157		
S	McKenna, SJ; Gong, S					McKenna, Stephen/0000-0003-0530-2035	Bigun, J; Chollet, G; Borgefors, G		Non-intrusive person authentication for access control by visual tracking and face recognition								AUDIO- AND VIDEO-BASED BIOMETRIC PERSON AUTHENTICATION		LECTURE NOTES IN COMPUTER SCIENCE		1206				177	183					1997	1997						1st International Conference on Audio-Based and Video-Based Biometric Person Authentication (AVBPA 97)1st International Conference on Audio-Based and Video-Based Biometric Person Authentication (AVBPA 97)	MAR 12-14, 1997MAR 12-14, 1997	Swiss Fed Inst Technol, Lausanne, Switzerland; Dalle Molle Inst Percept Artificial Intelligence, Martigny, Switzerland; Int Assoc Pattern Recognit; Swiss Grp Artificial Intelligence & Cognit Sci; Swiss Grp Specialized Telecommun Enterprise Networking & Serv Automat; MATRA Commun; SODEVAL S A, Valais Econ Dev Corp; SWISS TELECOMSwiss Fed Inst Technol, Lausanne, Switzerland; Dalle Molle Inst Percept Artificial Intelligence, Martigny, Switzerland; Int Assoc Pattern Recognit; Swiss Grp Artificial Intelligence & Cognit Sci; Swiss Grp Specialized Telecommun Enterprise Networking & Serv Automat; MATRA Commun; SODEVAL S A, Valais Econ Dev Corp; SWISS TELECOM	CRANS MONTANA, SWITZERLANDCRANS MONTANA, SWITZERLAND									0302-9743		3-540-62660-3	WOS:000071537700022		
S	Osuna, E; Freund, R; Girosi, F			IEEE COMP SOC					Training support vector machines: an application to face detection								1997 IEEE COMPUTER SOCIETY CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION, PROCEEDINGS		PROCEEDINGS / CVPR, IEEE COMPUTER SOCIETY CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION						130	136		10.1109/CVPR.1997.609310			1997	1997						1997 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR 97)1997 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR 97)	JUN 17-19, 1997JUN 17-19, 1997	IEEE Comp Soc, Tech Comm Pattern Anal & Machine IntelligenceIEEE Comp Soc, Tech Comm Pattern Anal & Machine Intelligence	SAN JUAN, PRSAN JUAN, PR									1063-6919		0-7803-4236-4	WOS:A1997BJ30G00021		
J	Rowley, HA; Baluja, S; Kanade, T				anzhi, yue/A-8609-2012				Neural network-based face detection								IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE				20	1			23	38		10.1109/34.655647			JAN 1998	1998																		0162-8828	1939-3539		WOS:000071872400003		
