PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Amati, G; Crestani, F								Probabilistic learning for selective dissemination of information								INFORMATION PROCESSING & MANAGEMENT				35	5			633	654		10.1016/S0306-4573(99)00012-6			SEP 1999	1999						RIAO 97 ConferenceRIAO 97 Conference	19971997		QUEBEC CITY, CANADAQUEBEC CITY, CANADA									0306-4573			WOS:000082565800003		
J	APTE, C; DAMERAU, F; WEISS, SM								AUTOMATED LEARNING OF DECISION RULES FOR TEXT CATEGORIZATION								ACM TRANSACTIONS ON INFORMATION SYSTEMS				12	3			233	251		10.1145/183422.183423			JUL 1994	1994																		1046-8188			WOS:A1994PH88700002		
J	BELKIN, NJ; CROFT, WB								INFORMATION FILTERING AND INFORMATION-RETRIEVAL - 2 SIDES OF THE SAME COIN								COMMUNICATIONS OF THE ACM				35	12			29	38		10.1145/138859.138861			DEC 1992	1992																		0001-0782			WOS:A1992JZ58900016		
J	BORKO, H; BERNICK, M								AUTOMATIC DOCUMENT CLASSIFICATION								JOURNAL OF THE ACM				10	2			151	&		10.1145/321160.321165			1963	1963																		0004-5411			WOS:A19632923B00002		
J	Caropreso, MF; Sebastiani, F				Sebastiani, Fabrizio/C-9501-2015	Sebastiani, Fabrizio/0000-0003-4221-6427	Chin, AG		A learner-independent evaluation of the usefulness of statistical phrases for automated text categorization								TEXT DATABASES AND DOCUMENT MANAGEMENT: THEORY AND PRACTICE								78	102					2001	2001																					CCC:000179167700004		
J	Chakrabarti, S; Dom, B; Agrawal, R; Raghavan, P					Raghavan, Prabhakar/0000-0001-9853-7604			Scalable feature selection, classification and signature generation for organizing large text databases into hierarchical topic taxonomies								VLDB JOURNAL				7	3			163	178		10.1007/s007780050061			AUG 1998	1998																		1066-8888	0949-877X		WOS:000075885700004		
J	Cohen, WW; Singer, Y								Context-sensitive learning methods for text categorization								ACM TRANSACTIONS ON INFORMATION SYSTEMS				17	2			141	173		10.1145/306686.306688			APR 1999	1999																		1046-8188			WOS:000081416200002		
J	COOPER, WS								SOME INCONSISTENCIES AND MISIDENTIFIED MODELING ASSUMPTIONS IN PROBABILISTIC INFORMATION-RETRIEVAL								ACM TRANSACTIONS ON INFORMATION SYSTEMS				13	1			100	111		10.1145/195705.195735			JAN 1995	1995																		1046-8188			WOS:A1995QQ67000004		
J	CREECY, RH; MASAND, BM; SMITH, SJ; WALTZ, DL								TRADING MIPS AND MEMORY FOR KNOWLEDGE ENGINEERING								COMMUNICATIONS OF THE ACM				35	8			48	64		10.1145/135226.135228			AUG 1992	1992																		0001-0782			WOS:A1992JF43600010		
J	Crestani, F; Lalmas, M; Van Rijsbergen, CJ; Campbell, I								"Is this document relevant? ... probably": A survey of probabilistic models in information retrieval								ACM COMPUTING SURVEYS				30	4			528	552		10.1145/299917.299920			DEC 1998	1998																		0360-0300			WOS:000080344100004		
J	DEERWESTER, S; DUMAIS, ST; FURNAS, GW; LANDAUER, TK; HARSHMAN, R								INDEXING BY LATENT SEMANTIC ANALYSIS								JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE				41	6			391	407		10.1002/(SICI)1097-4571(199009)41:6<391::AID-ASI1>3.0.CO;2-9			SEP 1990	1990																		0002-8231			WOS:A1990DX15600001		
J	Domingos, P; Pazzani, M								On the optimality of the simple Bayesian classifier under zero-one loss								MACHINE LEARNING				29	2-3			103	130		10.1023/A:1007413511361			NOV-DEC 1997	1997																		0885-6125			WOS:000071159300002		
J	Drucker, H; Wu, DH; Vapnik, VN								Support vector machines for spam categorization								IEEE TRANSACTIONS ON NEURAL NETWORKS				10	5			1048	1054		10.1109/72.788645			SEP 1999	1999																		1045-9227	1941-0093		WOS:000082372100007	18252607	
