PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Arieli, A; Sterkin, A; Grinvald, A; Aertsen, A								Dynamics of ongoing activity: Explanation of the large variability in evoked cortical responses								SCIENCE				273	5283			1868	1871		10.1126/science.273.5283.1868			SEP 27 1996	1996																		0036-8075			WOS:A1996VJ71300047	8791593	
J	BOYD, S; CHUA, LO								FADING MEMORY AND THE PROBLEM OF APPROXIMATING NONLINEAR OPERATORS WITH VOLTERRA SERIES								IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS				32	11			1150	1161		10.1109/TCS.1985.1085649			1985	1985																		0098-4094			WOS:A1985ATH9700007		
J	BUONOMANO, DV; MERZENICH, MM								TEMPORAL INFORMATION TRANSFORMED INTO A SPATIAL CODE BY A NEURAL-NETWORK WITH REALISTIC PROPERTIES								SCIENCE				267	5200			1028	1030		10.1126/science.7863330			FEB 17 1995	1995																		0036-8075			WOS:A1995QG99000040	7863330	
J	DOMINEY, P; ARBIB, M; JOSEPH, JP				Dominey, Peter/H-3832-2012	Dominey, Peter/0000-0002-9318-179X			A MODEL OF CORTICOSTRIATAL PLASTICITY FOR LEARNING OCULOMOTOR ASSOCIATIONS AND SEQUENCES								JOURNAL OF COGNITIVE NEUROSCIENCE				7	3			311	336		10.1162/jocn.1995.7.3.311			SUM 1995	1995																		0898-929X			WOS:A1995RQ42300001	23961864	
J	GILES, CL; MILLER, CB; CHEN, D; CHEN, HH; SUN, GZ; LEE, YC								LEARNING AND EXTRACTING FINITE STATE AUTOMATA WITH 2ND-ORDER RECURRENT NEURAL NETWORKS								NEURAL COMPUTATION				4	3			393	405		10.1162/neco.1992.4.3.393			MAY 1992	1992																		0899-7667			WOS:A1992HZ47600008		
J	Gupta, A; Wang, Y; Markram, H								Organizing principles for a diversity of GABAergic interneurons and synapses in the neocortex								SCIENCE				287	5451			273	278		10.1126/science.287.5451.273			JAN 14 2000	2000																		0036-8075			WOS:000084769600030	10634775	
J	HOLDEN, AV; TUCKER, JV; THOMPSON, BC								CAN EXCITABLE MEDIA BE CONSIDERED AS COMPUTATIONAL SYSTEMS								PHYSICA D				49	1-2			240	246		10.1016/0167-2789(91)90212-R			APR 1991	1991						INTERNATIONAL RESEARCH WORKSHOP ON WAVES AND PATTERNS IN BIOLOGICAL AND CHEMICAL EXCITABLE MEDIAINTERNATIONAL RESEARCH WORKSHOP ON WAVES AND PATTERNS IN BIOLOGICAL AND CHEMICAL EXCITABLE MEDIA	MAY 28-JUN 01, 1990MAY 28-JUN 01, 1990	DYNA ELECTR FRG USSR; ACAD SCI USSR; INST ATOM ENERGY; ENGN CTR PHYSICO CHEM BIOL; PHYS SOC USSRDYNA ELECTR FRG USSR; ACAD SCI USSR; INST ATOM ENERGY; ENGN CTR PHYSICO CHEM BIOL; PHYS SOC USSR	PUSHCHINO, USSRPUSHCHINO, USSR									0167-2789			WOS:A1991FL75200028		
J	Hopfield, JJ; Brody, CD								What is a moment? Transient synchrony as a collective mechanism for spatiotemporal integration								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				98	3			1282	1287		10.1073/pnas.031567098			JAN 30 2001	2001																		0027-8424			WOS:000166807300093	11158631	
J	Maass, W								On the computational power of winner-take-all								NEURAL COMPUTATION				12	11			2519	2535		10.1162/089976600300014827			NOV 2000	2000																		0899-7667			WOS:000165399700003	11110125	
J	Maass, W; Sontag, ED					Sontag, Eduardo/0000-0001-8020-5783			Neural systems as nonlinear filters								NEURAL COMPUTATION				12	8			1743	1772		10.1162/089976600300015123			AUG 2000	2000																		0899-7667			WOS:000088809000001	10953237	
