,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
173336900003,A1997BH93C00053,A1991FF04700001,000089508300011,000080990000001,A1992JT00900010,A1992HZ47600010,000166612900005,000082372100003,000165048700086,000075315300005,,,,,,,,,,,,,,,,,,,,
173997500008,000085227300039,000080842200032,000200604100003,000079135500001,A1996UZ38000003,000084624500049,000167362900006,A1997YC32300053,000077436700051,000200604300007,A1997XT05700011,000083121200061,A1994NE52500031,A1996VX10700028,000081835500080,000089096900004,000085590600011,000169404700005,,,,,,,,,,,,
175267600001,000082565800003,A1994PH88700002,A1992JZ58900016,A19632923B00002,000179167700004,000075885700004,000081416200002,A1995QQ67000004,A1992JF43600010,000080344100004,A1990DX15600001,000071159300002,000082372100007,,,,,,,,,,,,,,,,,
176015900007,000081389200006,A1996UZ38000003,000089670400003,A1995RV02400009,A1990EA04200005,A1994PF90800001,,,,,,,,,,,,,,,,,,,,,,,,
176340500003,000080016700009,A1987H400400001,A1993LQ73500010,A1989AP19500003,000079421000011,000078123000004,A1996UC14700007,,,,,,,,,,,,,,,,,,,,,,,
176446100002,000166220700003,000079394600001,A1975AP45900002,A1991FN15100007,A1985ALJ6400008,000084094600002,A19657012800040,000086365400002,000085472300002,,,,,,,,,,,,,,,,,,,,,
177931200045,000173291900001,A1992JT97900015,A1992JA25000029,000080799100009,000174739800015,000173544300009,000087332500002,A1994PP71300004,000172813300051,A1995TC20600001,000089295100001,000168752900006,000087799800001,000173865100028,000176589800031,000089664400004,000174365400030,000174756500034,000170387000004,000075671400017,000174039000010,000072024700004,000173387300008,000175592100051,000080799100011,000170827000014,000168752900005,000073065500023,000089390700052,
178882900001,A1996VJ71300047,A1985ATH9700007,A1995QG99000040,A1995RQ42300001,A1992HZ47600008,000084769600030,A1991FL75200028,000166807300093,000165399700003,000088809000001,000079659500009,A1996TP51600001,000073415700097,000074265700004,A1995RT52300017,A1991GH81200006,A1994PC53200005,000086625000045,,,,,,,,,,,,
182530600005,A1992JC28600008,A1993BX99H00168,A1956WT29900004,A1954UL94600002,000165995800050,000074957800014,000165995800027,000165995800049,,,,,,,,,,,,,,,,,,,,,,
184694200067,A1991GJ18000004,000076990100010,000071872400004,A1995TK61300016,,,,,,,,,,,,,,,,,,,,,,,,,,
186002400005,A1997XM46500003,000177115100002,000085981400011,A1977DM46400001,A1995RA00900004,000084849500004,A1987J648900004,,,,,,,,,,,,,,,,,,,,,,,
208617000010,000176400300008,000170542500009,000238865200005,000228577300003,A1995RX35400003,000282170000022,000236331100001,000245388800012,000263384400004,000174519400014,000171501800014,000245388800014,000167362000008,000248983300003,000247002600006,A1997BJ30G00021,,,,,,,,,,,,,,
209203200006,000286592400016,A1993LM87300017,000072248600008,A1996UZ38000003,A1995QB70700013,000284863200009,000284446200018,A1995RX35400003,A1994NR36000020,000271487700055,000280426100005,A1997BH93C00022,000268756800012,A1995RV02400009,A1997XT05700011,A1989AA05700003,000239485300105,A1990EA04200005,,,,,,,,,,,,
220823000008,000072817000067,000184926200015,000171891800061,A1977DM46400001,A1991FP08700065,A1984TX36100006,000166114100008,A1995RA10400045,,,,,,,,,,,,,,,,,,,,,,
221305200014,000181124500008,A1982PS68100039,A1997XV42900030,000181079700088,000179352000003,000166077200013,A1997XQ92200008,A1992HT07500014,000181079700099,A1994NA88600037,000179884800028,000167760800017,A1994MU62700012,A1994BC05L00027,A1982NQ28000006,000166938800058,000179951800003,INE:12169530,000181807800014,000165377300010,000170249100009,000166611200015,A1997WJ04100001,A1983QX73900009,A1989U374600002,A1995QN56700018,,,,
222770200003,A19656124600011,A1950UN76900001,000078344100019,A1977CX90100013,A1976CP27700009,000078344100007,A1997BH93C00053,000076132400002,000188041400011,000170542500009,000075434800003,A1995RX35400003,A1990EL12500008,,,,,,,,,,,,,,,,,
224941900171,A1997BH93C00019,000072248600008,000174986900007,A1991FD68600009,000181820400003,000087732100024,000071490200022,A1992HD41900007,A1993LW22200011,A1997WM03800006,,,,,,,,,,,,,,,,,,,,
226199900006,A1997XU79300002,000084153600002,A1995RE50700024,000083504800008,000181079700088,A1996WA79100014,A1997XZ46300004,000173678100026,A1986A906400028,A1995RG47500012,A1995QJ99600004,000166765100037,000177455000049,A1997XH73500012,A1993LB80000017,000084836600050,000220677000010,A1997WU03900021,000072056400026,000077983000103,000171271800005,A1995RE50700015,000072079300003,A1992JY87400073,000181964600012,,,,,
226943900002,A1995RV11300005,000186025200004,000184638200014,A1997XT05700011,000186025200006,000285963000016,A1982MX12400004,000085870000004,,,,,,,,,,,,,,,,,,,,,,
228810500045,A1994MR22000076,000165512600017,000188753800046,000182640400051,INE:11262961,000073689300011,000178238100033,000171204200015,000222966000010,000222273100018,A1995RH80000018,000072885100047,000173601000024,000186241100012,000223055000017,000220831800002,INE:12209052,000181476800034,000227562200006,000071555600010,,,,,,,,,,
228909900013,000176911100003,000174226200002,A1974U921700011,000085227300039,000080842200032,A1995RV43600011,A1990ED16700008,A1997XU79300002,A1994ND35600011,A1993MB27500003,A1981LK11600007,000169404700004,A1989R697100004,A19679043000009,000168755000012,000175514000011,000084159500011,000083764300002,000176055300003,,,,,,,,,,,
233859600001,000188084200002,000182470200003,000174711600004,000182456800010,000177271600001,000168465000001,A1989U850600001,A1992JA51100003,000179241300002,EC:ZOOR13500044139,A1996TT43000001,000089593500040,A1986D393500001,A1993MN29000009,000078271000019,000088178100012,A1988Q069100016,BCI200200520654,000220587800007,000179636300010,,,,,,,,,,
236326900001,000072248600008,000079135500001,A1989BQ08K00007,A1981LJ17700013,000086031600023,000072539100014,,,,,,,,,,,,,,,,,,,,,,,,
236327400003,A1980KP50700003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236330100008,000080350000001,000180520100078,A1973P205300002,A1981MT08200008,000078000300004,A1984AGU4300016,A1960WW45000013,000085960100003,,,,,,,,,,,,,,,,,,,,,,
236331400001,000083578500004,A1986AWP9400007,000236328100001,A1994PW53600001,000076056000015,A19611734300002,A1955WY83400009,000188517200006,000188141300006,A1988R296800023,A1979JY78700003,A1988N941300025,A1980JP21700001,000178755300028,,,,,,,,,,,,,,,,
236350400036,A1985ARJ9000024,000089531800005,000083121200054,A1993KH79300062,000226727200051,000233497400008,000177042400054,000174654200013,000080251600021,000188122100011,000185924500046,000182981500004,000173159300044,000088091700013,000185924500033,000168059700056,000224575700015,000185963200044,000233282200005,000233497400009,000221500300003,000178266400005,000172059100029,000225933100016,000188797700007,000174516500007,000081296900028,000184145200014,,
236767000001,000182456800010,000177271600001,000090138600008,000231396700009,000223817000017,000179241300002,A1994NN71400009,000175570200009,A1995QK27600023,000179241300013,000221533100004,000231075400006,A1993MN29000009,000179636300009,000222982800016,A1960CCC3600004,000182160100024,000179636300010,000179636300011,000175222800009,A1997XV97800008,000089669700001,,,,,,,,
237462800002,A1997XE56500009,A1991GV58800001,000072406200004,000170596600003,A1982NG95400006,000073342100004,000076427500101,000166612900001,000073342100002,A1988N633900020,000089427400043,,,,,,,,,,,,,,,,,,,
237698100002,000174574100007,000171501800008,A1995RV02400009,A1981LJ53800005,A1995RA60400031,000076557300010,000183784000027,000173535700004,A1992JC65200003,000073689300012,000231319400013,A1989CC85000004,000171891800128,,,,,,,,,,,,,,,,,
238254100043,000230464000013,000174163900006,000086054500012,A1976BU02400001,000233576200019,000165719700033,000224635800017,000178083500003,000184872400043,000230288800002,000178083500007,000088317700003,000186544300045,000182498300021,000224626500058,000170109100007,A1996TW14300034,000167178000020,000220845400052,000225988600017,000182498300020,A1997YG71400002,000081503800035,000189344700012,000222089500040,000222930800020,000078203300041,,,
238865200004,A1995QA72100003,A1994PQ76300008,A1989AA05700003,A1991FD68600009,A1989AT49300003,000174519400014,000236215200005,000226621900005,000181820400003,000071490200022,000225172500005,000238865200003,000226831700004,A1992HD41900007,A1991GW46500010,A1994PF90800001,A1993MC08400010,,,,,,,,,,,,,
239157900003,000073360600013,000182939400008,000183902100003,000180239900019,A19667758800001,000085480400002,000165995800050,A1997BJ30G00114,,,,,,,,,,,,,,,,,,,,,,
242194600002,000228008900001,000177375600001,A1996VD40000003,000239018100001,000189007100069,000184350600023,000234856700116,000168250400002,000232190100073,000235947500002,000235947500003,000228008900012,A1996VV21800003,000166871600002,,,,,,,,,,,,,,,,
242602300047,000072248600008,000174986900007,000226621900003,A1991FD68600009,000174519400014,000236215200005,000181820400003,000087732100024,000071490200022,A1993LW22200011,000177402800350,A1997WM03800006,,,,,,,,,,,,,,,,,,
244943500006,000082372100008,A1991EY69900008,000080622700001,000224806800003,A1973O445400011,A1996TZ49800004,000080194900005,A1981LF31000025,,,,,,,,,,,,,,,,,,,,,,
245243100007,000229331200008,000186037600019,000186320000035,000228040000021,000220913400007,000238712900011,000227843800013,000178468300015,000221310400040,INE:10902190,000090071000086,000181675200066,000221222100051,000087526300074,000223993000001,000177111200004,000227635400030,000077436700051,000086011100026,A1986AYM1800040,000165512600017,000183914700043,000227994700001,000223641500050,INE:11928497,000221556100005,000189358300013,000224364500006,,
245390700005,A1950UN76900001,000086093700052,000172047600001,000182939400008,000085682400001,000236544800005,,,,,,,,,,,,,,,,,,,,,,,,
250673800001,INE:16231961,000080842200032,000175637300011,000169404700004,000174708500004,000165512600015,000235207700022,000226440800001,000188990900010,000223697200016,000187723500010,000074406000005,000228587400006,000171374100033,000230744900001,000178836800012,000084033500015,000235228000002,000188997700109,000173997500008,,,,,,,,,,
