PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Ando, RK; Zhang, T								A framework for learning predictive structures from multiple tasks and unlabeled data								JOURNAL OF MACHINE LEARNING RESEARCH				6				1817	1853					NOV 2005	2005																		1532-4435			WOS:000236330700003		
J	Belkin, Mikhail; Niyogi, Partha; Sindhwani, Vikas								Manifold regularization: A geometric framework for learning from labeled and unlabeled examples								JOURNAL OF MACHINE LEARNING RESEARCH				7				2399	2434					NOV 2006	2006																		1532-4435			WOS:000245390700005		
J	Bickel, Steffen; Brueckner, Michael; Scheffer, Tobias								Discriminative Learning Under Covariate Shift								JOURNAL OF MACHINE LEARNING RESEARCH				10				2137	2155					SEP 2009	2009																		1532-4435			WOS:000272346100007		
S	Cristianini, N; Shawe-Taylor, J; Elisseeff, A; Kandola, J						Dietterich, TG; Becker, S; Ghahramani, Z		On kernel-target alignment								ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 14, VOLS 1 AND 2		ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS		14				367	373					2002	2002						15th Annual Conference on Neural Information Processing Systems (NIPS)15th Annual Conference on Neural Information Processing Systems (NIPS)	DEC 03-08, 2001DEC 03-08, 2001		VANCOUVER, CANADAVANCOUVER, CANADA									1049-5258		0-262-04208-8	WOS:000180520100046		
B	Dai, Wenyuan; Xue, Gui-Rong; Yang, Qiang; Yu, Yong						Berkhin, P; Caruana, R; Wu, X; Gaffney, S		Co-clustering based Classification for Out-of-domain Documents								KDD-2007 PROCEEDINGS OF THE THIRTEENTH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING								210	+					2007	2007						13th International Conference on Knowledge Discovery and Data Mining13th International Conference on Knowledge Discovery and Data Mining	AUG 12-15, 2007AUG 12-15, 2007	ACM SIGKDD; ACM SIGMODACM SIGKDD; ACM SIGMOD	San Jose, CASan Jose, CA											978-1-59593-609-7	WOS:000266628300022		
J	Fang, Shih-Hau; Lin, Tsung-Nan					LIN, TSUNGNAN/0000-0001-5659-1194			Indoor Location System Based on Discriminant-Adaptive Neural Network in IEEE 802.11 Environments								IEEE TRANSACTIONS ON NEURAL NETWORKS				19	11			1973	1978		10.1109/TNN.2008.2005494			NOV 2008	2008																		1045-9227	1941-0093		WOS:000260865800012	19000967	
J	Ghosn, J; Bengio, Y								Bias learning, knowledge sharing								IEEE TRANSACTIONS ON NEURAL NETWORKS				14	4			748	765		10.1109/TNN.2003.810608			JUL 2003	2003																		1045-9227	1941-0093		WOS:000184371900003	18238057	
S	Hido, Shohei; Tsuboi, Yuta; Kashima, Hisashi; Sugiyama, Masashi; Kanamori, Takafumi	Giannotti, F					Gunopulos, D; Turini, F; Zaniolo, C; Ramakrishnan, N; Wu, XD		Inlier-based Outlier Detection via Direct Density Ratio Estimation								ICDM 2008: EIGHTH IEEE INTERNATIONAL CONFERENCE ON DATA MINING, PROCEEDINGS		IEEE International Conference on Data Mining						223	232		10.1109/ICDM.2008.49			2008	2008						8th IEEE International Conference on Data Mining8th IEEE International Conference on Data Mining	DEC 15-19, 2008DEC 15-19, 2008	IEEE; Yahoo Res; WIND; Microsoft; Ask com; IBM; Natl Sci Fdn; coop; BASE; Univ Pisa; Brite; Comune Pisa; Prov Pisa; Prov Lucca; Inst Sci & Tecnol Informazione; Consiglio Nazl Ric; GeoPKDD; Camera Commercia PisaIEEE; Yahoo Res; WIND; Microsoft; Ask com; IBM; Natl Sci Fdn; coop; BASE; Univ Pisa; Brite; Comune Pisa; Prov Pisa; Prov Lucca; Inst Sci & Tecnol Informazione; Consiglio Nazl Ric; GeoPKDD; Camera Commercia Pisa	Pisa, ITALYPisa, ITALY									1550-4786		978-0-7695-3502-9	WOS:000264173600023		
J	Kanamori, Takafumi; Hido, Shohei; Sugiyama, Masashi								A Least-squares Approach to Direct Importance Estimation								JOURNAL OF MACHINE LEARNING RESEARCH				10				1391	1445					JUL 2009	2009																		1532-4435			WOS:000270825000004		
J	Muller, KR; Mika, S; Ratsch, G; Tsuda, K; Scholkopf, B				Ratsch, Gunnar/B-8182-2009; Muller, Klaus/C-3196-2013; Scholkopf, Bernhard/A-7570-2013				An introduction to kernel-based learning algorithms								IEEE TRANSACTIONS ON NEURAL NETWORKS				12	2			181	201		10.1109/72.914517			MAR 2001	2001																		1045-9227	1941-0093		WOS:000167886700001	18244377	
J	Ozawa, Seiichi; Roy, Asim; Roussinov, Dmitri				Ozawa, Seiichi/F-7313-2014; Totsukawa, Nobuhisa/D-2028-2017				A Multitask Learning Model for Online Pattern Recognition								IEEE TRANSACTIONS ON NEURAL NETWORKS				20	3			430	445		10.1109/TNN.2008.2007961			MAR 2009	2009																		1045-9227			WOS:000263831800006	19188119	
J	Pan, Sinno Jialin; Yang, Qiang				PAN, Sinno Jialin/P-6696-2014; Hajra, Suvadeep/L-8460-2015	PAN, Sinno Jialin/0000-0001-6565-3836; Yang, Qiang/0000-0001-5059-8360			A Survey on Transfer Learning								IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING				22	10			1345	1359		10.1109/TKDE.2009.191			OCT 2010	2010																		1041-4347			WOS:000281000500001		
J	Scholkopf, B; Smola, A; Muller, KR				Muller, Klaus/C-3196-2013; Scholkopf, Bernhard/A-7570-2013				Nonlinear component analysis as a kernel eigenvalue problem								NEURAL COMPUTATION				10	5			1299	1319		10.1162/089976698300017467			JUL 1 1998	1998																		0899-7667	1530-888X		WOS:000074957800014		
