PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
S	Agarwal, Shivani						Freund, Y; Gyorfi, L; Turan, G; Zeugmann, T		Generalization Bounds for Some Ordinal Regression Algorithms								ALGORITHMIC LEARNING THEORY, PROCEEDINGS		LECTURE NOTES IN ARTIFICIAL INTELLIGENCE		5254				7	21					2008	2008						19th International Conference on Algorithmic Learning Theory19th International Conference on Algorithmic Learning Theory	OCT 13-16, 2008OCT 13-16, 2008	Aegon Hungary; Fraunhofer IAIS; Univ Szeged, Inst Informat; Tohoku Univ, Dept Syst Informat Sci; Kyushu Univ, Dept Informat; Hokkaido Univ, Div CompAegon Hungary; Fraunhofer IAIS; Univ Szeged, Inst Informat; Tohoku Univ, Dept Syst Informat Sci; Kyushu Univ, Dept Informat; Hokkaido Univ, Div Comp	Budapest, HUNGARYBudapest, HUNGARY									0302-9743		978-3-540-87986-2	WOS:000260480700002		
J	Amit, Yonatan; Shalev-Shwartz, Shai; Singer, Yoram								Online learning of complex prediction problems using simultaneous projections								JOURNAL OF MACHINE LEARNING RESEARCH				9				1399	1435					JUL 2008	2008																		1532-4435			WOS:000258646800005		
J	Cardoso, Jaime S.; da Costa, Joaquim F. Pinto				Da Costa, Joaquim/B-6720-2011; Cardoso, Jaime/I-3286-2013	Da Costa, Joaquim/0000-0002-3991-2715; Cardoso, Jaime/0000-0002-3760-2473			Learning to classify ordinal data: The data replication method								JOURNAL OF MACHINE LEARNING RESEARCH				8				1393	1429					JUL 2007	2007																		1532-4435			WOS:000249353700002		
S	Cauwenberghs, G; Poggio, T						Leen, TK; Dietterich, TG; Tresp, V		Incremental and decremental support vector machine learning								ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 13		ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS		13				409	415					2001	2001						14th Annual Neural Information Processing Systems Conference (NIPS)14th Annual Neural Information Processing Systems Conference (NIPS)	NOV 27-DEC 02, 2000NOV 27-DEC 02, 2000		DENVER, CODENVER, CO									1049-5258		0-262-12241-3	WOS:000171891800058		
J	Chu, Wei; Keerthi, S. Sathiya								Support vector ordinal regression								NEURAL COMPUTATION				19	3			792	815		10.1162/neco.2007.19.3.792			MAR 2007	2007																		0899-7667			WOS:000244644200008	17298234	
J	Crammer, K; Singer, Y								Online ranking by projecting								NEURAL COMPUTATION				17	1			145	175		10.1162/0899766052530848			JAN 2005	2005																		0899-7667			WOS:000226691300008	15563751	
J	Gu, Bin; Sheng, Victor S.								Feasibility and Finite Convergence Analysis for Accurate On-Line nu-Support Vector Machine								IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS				24	8			1304	1315		10.1109/TNNLS.2013.2250300			AUG 2013	2013																		2162-237X	2162-2388		WOS:000322039500011	24808569	
J	Gu, Bin; Wang, Jian-Dong; Yu, Yue-Cheng; Zheng, Guan-Sheng; Huang, Yu-Fan; Xu, Tao								Accurate on-line nu-support vector learning								NEURAL NETWORKS				27				51	59		10.1016/j.neunet.2011.10.006			MAR 2012	2012																		0893-6080			WOS:000301009200006	22057091	
J	Hastie, T; Rosset, S; Tibshirani, R; Zhu, J								The entire regularization path for the support vector machine								JOURNAL OF MACHINE LEARNING RESEARCH				5				1391	1415					OCT 2004	2004																		1532-4435			WOS:000236328300007		
S	Herbrich, R; Graepel, T; Obermayer, K			IEE; IEE					Support vector learning for ordinal regression								NINTH INTERNATIONAL CONFERENCE ON ARTIFICIAL NEURAL NETWORKS (ICANN99), VOLS 1 AND 2		IEE CONFERENCE PUBLICATIONS			470			97	102					1999	1999						9th International Conference on Artificial Neural Networks (ICANN99)9th International Conference on Artificial Neural Networks (ICANN99)	SEP 07-10, 1999SEP 07-10, 1999	IEE, Informat Div; Asian Pacific Neural Network Assembly; British Neurosci Assoc; European Neural Network Soc; Inst Math & Applicat; Int Neural Networks Soc; Inst Phys; Neural Comp Applicat ForumIEE, Informat Div; Asian Pacific Neural Network Assembly; British Neurosci Assoc; European Neural Network Soc; Inst Math & Applicat; Int Neural Networks Soc; Inst Phys; Neural Comp Applicat Forum	UNIV EDINBURGH, EDINBURGH, SCOTLANDUNIV EDINBURGH, EDINBURGH, SCOTLAND									0537-9989		0-85296-721-7	WOS:000084507900017		
