PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Bauer, E; Kohavi, R								An empirical comparison of voting classification algorithms: Bagging, boosting, and variants								MACHINE LEARNING				36	1-2			105	139		10.1023/A:1007515423169			JUL 1999	1999						AAAI 1996 Workshop on Integrating Multiple Learned Models for Improving and Scaling Machine Learning AlgorithmsAAAI 1996 Workshop on Integrating Multiple Learned Models for Improving and Scaling Machine Learning Algorithms	AUG 05, 1996AUG 05, 1996		PORTLAND, ORPORTLAND, OR									0885-6125	1573-0565		WOS:000081389200006		
J	BENJAMINI, Y; HOCHBERG, Y				Benjamini, Yoav/C-4219-2008				CONTROLLING THE FALSE DISCOVERY RATE - A PRACTICAL AND POWERFUL APPROACH TO MULTIPLE TESTING								JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-METHODOLOGICAL				57	1			289	300					1995	1995																		0035-9246			WOS:A1995QE45300017		
J	BLUMER, A; EHRENFEUCHT, A; HAUSSLER, D; WARMUTH, MK								OCCAM RAZOR								INFORMATION PROCESSING LETTERS				24	6			377	380		10.1016/0020-0190(87)90114-1			APR 6 1987	1987																		0020-0190			WOS:A1987H147300006		
J	COHEN, WW								GRAMMATICALLY BIASED LEARNING - LEARNING LOGIC PROGRAMS USING AN EXPLICIT ANTECEDENT DESCRIPTION LANGUAGE								ARTIFICIAL INTELLIGENCE				68	2			303	366		10.1016/0004-3702(94)90070-1			AUG 1994	1994																		0004-3702			WOS:A1994PA41000003		
J	Domingos, P								The role of occam's razor in knowledge discovery								DATA MINING AND KNOWLEDGE DISCOVERY				3	4			409	425		10.1023/A:1009868929893			DEC 1999	1999																		1384-5810	1573-756X		WOS:000084012000003		
J	Domingos, P; Pazzani, M								On the optimality of the simple Bayesian classifier under zero-one loss								MACHINE LEARNING				29	2-3			103	130		10.1023/A:1007413511361			NOV-DEC 1997	1997																		0885-6125			WOS:000071159300002		
J	Kohavi, Ron; Longbotham, Roger; Sommerfield, Dan; Henne, Randal M.								Controlled experiments on the web: survey and practical guide								DATA MINING AND KNOWLEDGE DISCOVERY				18	1			140	181		10.1007/s10618-008-0114-1			FEB 2009	2009																		1384-5810			WOS:000261951600005		
J	PEARL, J								CONNECTION BETWEEN COMPLEXITY AND CREDIBILITY OF INFERRED MODELS								INTERNATIONAL JOURNAL OF GENERAL SYSTEMS				4	4			255	264		10.1080/03081077808960690			1978	1978																		0308-1079			WOS:A1978GC09300004		
J	Richardson, M; Domingos, P								Markov logic networks								MACHINE LEARNING				62	1-2			107	136		10.1007/s10994-006-5833-1			FEB 2006	2006																		0885-6125			WOS:000235138700005		
J	Tenenbaum, JB; de Silva, V; Langford, JC								A global geometric framework for nonlinear dimensionality reduction								SCIENCE				290	5500			2319	+		10.1126/science.290.5500.2319			DEC 22 2000	2000																		0036-8075			WOS:000165995800049	11125149	
S	Witten, IH; Frank, E; Hall, MA								Data Mining: Practical Machine Learning Tools and Techniques, 3rd Edition								DATA MINING: PRACTICAL MACHINE LEARNING TOOLS AND TECHNIQUES, 3RD EDITION		Morgan Kaufmann Series in Data Management Systems						1	629					2011	2011																		1046-1698		978-0-08-089036-4; 978-0-12-374856-0	WOS:000316848800019		
J	Wolpert, DH								The lack of A priori distinctions between learning algorithms								NEURAL COMPUTATION				8	7			1341	1390		10.1162/neco.1996.8.7.1341			OCT 1 1996	1996																		0899-7667	1530-888X		WOS:A1996VJ88300001		
