PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Atiya, AF; Parlos, AG								New results on recurrent network training: Unifying the algorithms and accelerating convergence								IEEE TRANSACTIONS ON NEURAL NETWORKS				11	3			697	709		10.1109/72.846741			MAY 2000	2000																		1045-9227			WOS:000087732100015	18249797	
J	Buchner, Michael; Young, Peter								A tighter bound for the echo state property								IEEE TRANSACTIONS ON NEURAL NETWORKS				17	3			820	824		10.1109/TNN.2006.872357			MAY 2006	2006																		1045-9227			WOS:000237521300027	16722187	
S	Bush, K; Anderson, C			IEEE					Modeling reward functions for incomplete state representations via echo state networks								Proceedings of the International Joint Conference on Neural Networks (IJCNN), Vols 1-5		IEEE International Joint Conference on Neural Networks (IJCNN)						2995	3000		10.1109/IJCNN.2005.1556402			2005	2005						IEEE International Joint Conference on Neural Networks (IJCNN 2005)IEEE International Joint Conference on Neural Networks (IJCNN 2005)	JUL 31-AUG 04, 2005JUL 31-AUG 04, 2005	Int Neural Network Soc; IEEE Computat Intelligence SocInt Neural Network Soc; IEEE Computat Intelligence Soc	Montreal, CANADAMontreal, CANADA									1098-7576		0-7803-9048-2	WOS:000235178004058		
J	Gers, FA; Schtmidhuber, J								LSTM recurrent networks learn simple context-free and context-sensitive languages								IEEE TRANSACTIONS ON NEURAL NETWORKS				12	6			1333	1340		10.1109/72.963769			NOV 2001	2001																		1045-9227			WOS:000172015200007	18249962	
S	Jaeger, H			IEEE					Reservoir riddles: Suggestions for echo state network research (Extended abstract)								Proceedings of the International Joint Conference on Neural Networks (IJCNN), Vols 1-5		IEEE International Joint Conference on Neural Networks (IJCNN)						1460	1462					2005	2005						IEEE International Joint Conference on Neural Networks (IJCNN 2005)IEEE International Joint Conference on Neural Networks (IJCNN 2005)	JUL 31-AUG 04, 2005JUL 31-AUG 04, 2005	Int Neural Network Soc; IEEE Computat Intelligence SocInt Neural Network Soc; IEEE Computat Intelligence Soc	Montreal, CANADAMontreal, CANADA									1098-7576		0-7803-9048-2	WOS:000235178002023		
J	Jaeger, H; Haas, H								Harnessing nonlinearity: Predicting chaotic systems and saving energy in wireless communication								SCIENCE				304	5667			78	80		10.1126/science.1091277			APR 2 2004	2004																		0036-8075	1095-9203		WOS:000220567900039	15064413	
J	Kilian, J; Siegelmann, HT								The dynamic universality of sigmoidal neural networks								INFORMATION AND COMPUTATION				128	1			48	56		10.1006/inco.1996.0062			JUL 10 1996	1996																		0890-5401			WOS:A1996VA94100003		
S	Maass, W						Mozer, MC; Jordan, MI; Petsche, T		Noisy spiking neurons with temporal coding have more computational power than sigmoidal neurons								ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 9: PROCEEDINGS OF THE 1996 CONFERENCE		ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS		9				211	217					1997	1997						10th Annual Conference on Neural Information Processing Systems (NIPS)10th Annual Conference on Neural Information Processing Systems (NIPS)	DEC 02-05, 1996DEC 02-05, 1996	NIPS FdnNIPS Fdn	DENVER, CODENVER, CO									1049-5258		0-262-10065-7	WOS:A1997BH93C00030		
S	Maass, W; Legenstein, R; Markram, H						Bulthoff, HH; Lee, SW; Poggio, TA; Wallraven, C		A new approach towards vision suggested by biologically realistic neural microcircuit models								BIOLOGICALLY MOTIVATED COMPUTER VISION, PROCEEDINGS		LECTURE NOTES IN COMPUTER SCIENCE		2525				282	293					2002	2002						2nd International Workshop on Biologically Motivated Computer Vision (BMCV 2002)2nd International Workshop on Biologically Motivated Computer Vision (BMCV 2002)	NOV 22-24, 2002NOV 22-24, 2002	Max Planck Inst Biol Cybernet; Univ Tubingen; Comp KochMax Planck Inst Biol Cybernet; Univ Tubingen; Comp Koch	TUBINGEN, GERMANYTUBINGEN, GERMANY									0302-9743		3-540-00174-3	WOS:000181471800028		
J	Maass, W; Natschlager, T; Markram, H								Fading memory and kernel properties of generic cortical microcircuit models								JOURNAL OF PHYSIOLOGY-PARIS				98	4-6			315	330		10.1016/j.jphysparis.2005.09.020			JUL-NOV 2004	2004						Ladislav Tauc Conference in NeurobiologyLadislav Tauc Conference in Neurobiology	DEC 04-05, 2003DEC 04-05, 2003		Gif sur Yvette, FRANCEGif sur Yvette, FRANCE									0928-4257			WOS:000234184700003	16310350	
J	Maass, W; Natschlager, T; Markram, H								Real-time computing without stable states: A new framework for neural computation based on perturbations								NEURAL COMPUTATION				14	11			2531	2560		10.1162/089976602760407955			NOV 2002	2002																		0899-7667			WOS:000178882900001	12433288	
J	Markram, H; Pikus, D; Gupta, A; Tsodyks, M				tsodyks, misha/J-4430-2013				Potential for multiple mechanisms, phenomena and algorithms for synaptic plasticity at single synapses								NEUROPHARMACOLOGY				37	4-5			489	500		10.1016/S0028-3908(98)00049-5			APR-MAY 1998	1998																		0028-3908	1873-7064		WOS:000074794700010	9704990	
J	Markram, H; Lubke, J; Frotscher, M; Sakmann, B				Lubke, Joachim/H-8762-2013	Lubke, Joachim/0000-0002-4086-3199			Regulation of synaptic efficacy by coincidence of postsynaptic APs and EPSPs								SCIENCE				275	5297			213	215		10.1126/science.275.5297.213			JAN 10 1997	1997																		0036-8075			WOS:A1997WC02200038	8985014	
