PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ANSARI, N; DELP, EJ				Delp, Edward/C-3616-2013	Delp, Edward/0000-0002-2909-7323			ON DETECTING DOMINANT POINTS								PATTERN RECOGNITION				24	5			441	451		10.1016/0031-3203(91)90057-C			1991	1991																		0031-3203			WOS:A1991FF30700008		
J	Arrebola, F; Camacho, P; Bandera, A; Sandoval, F				Bandera, Antonio/H-2111-2015	Bandera, Antonio/0000-0003-3147-0307; Arrebola Perez, Rafael Fabian/0000-0002-3707-7525; Sandoval, Francisco/0000-0001-9235-7856			Corner detection and curve representation by circular histograms of contour chain code								ELECTRONICS LETTERS				35	13			1065	1067		10.1049/el:19990764			JUN 24 1999	1999																		0013-5194			WOS:000081549900023		
J	Arrebola, F; Bandera, A; Camacho, P; Sandoval, F				Bandera, Antonio/H-2111-2015	Bandera, Antonio/0000-0003-3147-0307; Arrebola Perez, Rafael Fabian/0000-0002-3707-7525; Sandoval, Francisco/0000-0001-9235-7856			Corner detection by local histograms of contour chain code								ELECTRONICS LETTERS				33	21			1769	1771		10.1049/el:19971229			OCT 9 1997	1997																		0013-5194			WOS:000072041400017		
J	Bae, SC; Kweon, IS; Yoo, CD				Kweon, In So/C-2023-2011				COP: a new corner detector								PATTERN RECOGNITION LETTERS				23	11			1349	1360	PII S0167-8655(02)00083-1	10.1016/S0167-8655(02)00083-1			SEP 2002	2002																		0167-8655			WOS:000176094200011		
J	BALLARD, DH								GENERALIZING THE HOUGH TRANSFORM TO DETECT ARBITRARY SHAPES								PATTERN RECOGNITION				13	2			111	122		10.1016/0031-3203(81)90009-1			1981	1981																		0031-3203			WOS:A1981LH42300002		
J	Bandera, A; Urdiales, C; Arrebola, F; Sandoval, F				Bandera, Antonio/H-2111-2015	Bandera, Antonio/0000-0003-3147-0307; Arrebola Perez, Rafael Fabian/0000-0002-3707-7525; Sandoval, Francisco/0000-0001-9235-7856; Urdiales, Cristina/0000-0002-9251-6447			Corner detection by means of adaptively estimated curvature function								ELECTRONICS LETTERS				36	2			124	126		10.1049/el:20000177			JAN 20 2000	2000																		0013-5194			WOS:000085306600016		
J	BEUS, HL; TIU, SSH								AN IMPROVED CORNER DETECTION ALGORITHM BASED ON CHAIN-CODED PLANE-CURVES								PATTERN RECOGNITION				20	3			291	296					1987	1987																		0031-3203			WOS:A1987J036400004		
J	CHENG, FH; HSU, WH								PARALLEL ALGORITHM FOR CORNER FINDING ON DIGITAL CURVES								PATTERN RECOGNITION LETTERS				8	1			47	53		10.1016/0167-8655(88)90023-2			JUL 1988	1988																		0167-8655			WOS:A1988P914000009		
J	COOPER, J; VENKATESH, S; KITCHEN, L								EARLY JUMP-OUT CORNER DETECTORS								IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE				15	8			823	828		10.1109/34.236246			AUG 1993	1993																		0162-8828			WOS:A1993LR94800008		
J	DERICHE, R; GIRAUDON, G								A COMPUTATIONAL APPROACH FOR CORNER AND VERTEX DETECTION								INTERNATIONAL JOURNAL OF COMPUTER VISION				10	2			101	124		10.1007/BF01420733			APR 1993	1993																		0920-5691			WOS:A1993LP38500002		
J	DRESCHLER, L; NAGEL, HH								VOLUMETRIC MODEL AND 3D TRAJECTORY OF A MOVING CAR DERIVED FROM MONOCULAR TV FRAME SEQUENCES OF A STREET SCENE								COMPUTER GRAPHICS AND IMAGE PROCESSING				20	3			199	228		10.1016/0146-664X(82)90081-8			1982	1982																		0148-664X			WOS:A1982PT34000001		
J	DUDA, RO; HART, PE								USE OF HOUGH TRANSFORMATION TO DETECT LINES AND CURVES IN PICTURES								COMMUNICATIONS OF THE ACM				15	1			11	&		10.1145/361237.361242			1972	1972																		0001-0782			WOS:A1972L300700003		
J	FREEMAN, H; DAVIS, LS								CORNER-FINDING ALGORITHM FOR CHAIN-CODED CURVES								IEEE TRANSACTIONS ON COMPUTERS				26	3			297	303					1977	1977																		0018-9340			WOS:A1977DA26600019		
J	GUIDUCCI, A								CORNER CHARACTERIZATION BY DIFFERENTIAL GEOMETRY TECHNIQUES								PATTERN RECOGNITION LETTERS				8	5			311	318		10.1016/0167-8655(88)90080-3			DEC 1988	1988																		0167-8655			WOS:A1988T194600004		
S	He, XC; Yung, NHC				He, Xiaochen/C-1745-2009; Yung, Nelson/C-1873-2009		Kittler, J; Petrou, M; Nixon, M		Curvature scale space corner detector with adaptive threshold and dynamic region of support								PROCEEDINGS OF THE 17TH INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION, VOL 2		INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION						791	794		10.1109/ICPR.2004.1334377			2004	2004						17th International Conference on Pattern Recognition (ICPR)17th International Conference on Pattern Recognition (ICPR)	AUG 23-26, 2004AUG 23-26, 2004	Int Assoc Pattern Recognit; Univ Surrey; UniS; IEEE Comp Soc; HP Res Labs BristolInt Assoc Pattern Recognit; Univ Surrey; UniS; IEEE Comp Soc; HP Res Labs Bristol	British Machine Vis Assoc, Cambridge, ENGLANDBritish Machine Vis Assoc, Cambridge, ENGLAND									1051-4651		0-7695-2128-2	WOS:000223877400193		
S	Kenney, CS; Zuliani, M; Manjunath, BS						Schmid, C; Soatto, S; Tomasi, C		An axiomatic approach to corner detection								2005 IEEE Computer Society Conference on Computer Vision and Pattern Recognition, Vol 1, Proceedings		PROCEEDINGS - IEEE COMPUTER SOCIETY CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION						191	197					2005	2005						Conference on Computer Vision and Pattern RecognitionConference on Computer Vision and Pattern Recognition	JUN 20-25, 2005JUN 20-25, 2005	IEEE Comp SocIEEE Comp Soc	San Diego, CASan Diego, CA									1063-6919		0-7695-2372-2	WOS:000230923100026		
