PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	AMARI, S; MURATA, N				Murata, Noboru/J-3345-2012; Amari, Shun-ichi/A-5901-2016	Murata, Noboru/0000-0002-4258-6877; 			STATISTICAL-THEORY OF LEARNING-CURVES UNDER ENTROPIC LOSS CRITERION								NEURAL COMPUTATION				5	1			140	153		10.1162/neco.1993.5.1.140			JAN 1993	1993																		0899-7667	1530-888X		WOS:A1993KG55800012		
J	BARRON, AR				Rohlf, F/A-8710-2008				UNIVERSAL APPROXIMATION BOUNDS FOR SUPERPOSITIONS OF A SIGMOIDAL FUNCTION								IEEE TRANSACTIONS ON INFORMATION THEORY				39	3			930	945		10.1109/18.256500			MAY 1993	1993																		0018-9448			WOS:A1993LM87300017		
J	BISHOP, C								EXACT CALCULATION OF THE HESSIAN MATRIX FOR THE MULTILAYER PERCEPTRON								NEURAL COMPUTATION				4	4			494	501		10.1162/neco.1992.4.4.494			JUL 1992	1992																		0899-7667			WOS:A1992JF87200002		
J	BREIMAN, L								THE PI METHOD FOR ESTIMATING MULTIVARIATE FUNCTIONS FROM NOISY DATA								TECHNOMETRICS				33	2			125	143		10.2307/1269038			MAY 1991	1991																		0040-1706			WOS:A1991FJ19800001		
J	BRENT, RP								FAST TRAINING ALGORITHMS FOR MULTILAYER NEURAL NETS								IEEE TRANSACTIONS ON NEURAL NETWORKS				2	3			346	354		10.1109/72.97911			MAY 1991	1991																		1045-9227			WOS:A1991FH17500002	18282856	
J	CAMPBELL, NA; MAHON, RJ				Mahon, Rod/C-2703-2009				MULTIVARIATE STUDY OF VARIATION IN 2 SPECIES OF ROCK CRAB OF GENUS LEPTOGRAPSUS								AUSTRALIAN JOURNAL OF ZOOLOGY				22	3			417	425		10.1071/ZO9740417			1974	1974																		0004-959X			WOS:A1974V001900010		
J	CARROLL, RJ; PEDERSON, S								ON ROBUSTNESS IN THE LOGISTIC-REGRESSION MODEL								JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-METHODOLOGICAL				55	3			693	706					1993	1993																		0035-9246			WOS:A1993LK21900009		
J	CHOU, PA; LOOKABAUGH, T; GRAY, RM				Gray, Robert/A-1433-2012				OPTIMAL PRUNING WITH APPLICATIONS TO TREE-STRUCTURED SOURCE-CODING AND MODELING								IEEE TRANSACTIONS ON INFORMATION THEORY				35	2			299	315		10.1109/18.32124			MAR 1989	1989																		0018-9448	1557-9654		WOS:A1989AB93000007		
J	CHOU, PA								OPTIMAL PARTITIONING FOR CLASSIFICATION AND REGRESSION TREES								IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE				13	4			340	354		10.1109/34.88569			APR 1991	1991																		0162-8828	1939-3539		WOS:A1991FL56600004		
