PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Amit, Y; Geman, D				Geman, Donald/A-3325-2010				A computational model for visual selection								NEURAL COMPUTATION				11	7			1691	1715		10.1162/089976699300016197			OCT 1 1999	1999																		0899-7667			WOS:000083169000010	10490943	
J	BIEDERMAN, I								RECOGNITION-BY-COMPONENTS - A THEORY OF HUMAN IMAGE UNDERSTANDING								PSYCHOLOGICAL REVIEW				94	2			115	147		10.1037//0033-295X.94.2.115			APR 1987	1987																		0033-295X			WOS:A1987G747800001	3575582	
S	Colmenarez, AJ; Huang, TS			IEEE COMP SOC					Face detection with information-based maximum discrimination								1997 IEEE COMPUTER SOCIETY CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION, PROCEEDINGS		PROCEEDINGS / CVPR, IEEE COMPUTER SOCIETY CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION						782	787		10.1109/CVPR.1997.609415			1997	1997						1997 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR 97)1997 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR 97)	JUN 17-19, 1997JUN 17-19, 1997	IEEE Comp Soc, Tech Comm Pattern Anal & Machine IntelligenceIEEE Comp Soc, Tech Comm Pattern Anal & Machine Intelligence	SAN JUAN, PRSAN JUAN, PR									1063-6919		0-7803-4236-4	WOS:A1997BJ30G00122		
J	Logothetis, NK; Sheinberg, DL								Visual object recognition								ANNUAL REVIEW OF NEUROSCIENCE				19				577	621		10.1146/annurev.ne.19.030196.003045			1996	1996																		0147-006X			WOS:A1996TY51800022	8833455	
J	Mohan, A; Papageorgiou, C; Poggio, T								Example-based object detection in images by components								IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE				23	4			349	361		10.1109/34.917571			APR 2001	2001																		0162-8828	1939-3539		WOS:000168067900002		
S	Osuna, E; Freund, R; Girosi, F			IEEE COMP SOC					Training support vector machines: an application to face detection								1997 IEEE COMPUTER SOCIETY CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION, PROCEEDINGS		PROCEEDINGS / CVPR, IEEE COMPUTER SOCIETY CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION						130	136		10.1109/CVPR.1997.609310			1997	1997						1997 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR 97)1997 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR 97)	JUN 17-19, 1997JUN 17-19, 1997	IEEE Comp Soc, Tech Comm Pattern Anal & Machine IntelligenceIEEE Comp Soc, Tech Comm Pattern Anal & Machine Intelligence	SAN JUAN, PRSAN JUAN, PR									1063-6919		0-7803-4236-4	WOS:A1997BJ30G00021		
J	PALMER, SE								HIERARCHICAL STRUCTURE IN PERCEPTUAL REPRESENTATION								COGNITIVE PSYCHOLOGY				9	4			441	474		10.1016/0010-0285(77)90016-0			1977	1977																		0010-0285			WOS:A1977DZ04600003		
J	Papagiannis, GK; Triantafyllidis, DG; Labridis, DP				Labridis, Dimitris/B-7951-2010; Papagiannis, Grigoris/B-4940-2010; Papagiannis, Grigoris/O-2242-2013	Labridis, Dimitris/0000-0002-1654-8068; Papagiannis, Grigoris/0000-0002-9470-8573			A one-step finite element formulation for the modeling of single and double-circuit transmission lines								IEEE TRANSACTIONS ON POWER SYSTEMS				15	1			33	38		10.1109/59.852098			FEB 2000	2000																		0885-8950	1558-0679		WOS:000087916000006		
B	Roth, D			AMER ASSOC ARTIFICIAL INTELLIGENCE; AMER ASSOC ARTIFICIAL INTELLIGENCE					Learning to resolve natural language ambiguities: A unified approach								FIFTEENTH NATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE (AAAI-98) AND TENTH CONFERENCE ON INNOVATIVE APPLICATIONS OF ARTIFICAL INTELLIGENCE (IAAI-98) - PROCEEDINGS								806	813					1998	1998						15th National Conference on Artificial Intelligence (AAAI 98) / 10th Conference on Innovative Applications of Artificial Intelligence (IAAI 98)15th National Conference on Artificial Intelligence (AAAI 98) / 10th Conference on Innovative Applications of Artificial Intelligence (IAAI 98)	JUL 26-30, 1998JUL 26-30, 1998	Amer Assoc Artificial Intelligence; ACM, SIGART; Defense Adv Res Projects Agcy; Microsoft Corp; USN, Off Naval Res; NASA, Ames Res Ctr; Natl Sci FdnAmer Assoc Artificial Intelligence; ACM, SIGART; Defense Adv Res Projects Agcy; Microsoft Corp; USN, Off Naval Res; NASA, Ames Res Ctr; Natl Sci Fdn	MADISON, WIMADISON, WI											0-262-51098-7	WOS:000076427500115		
J	Roth, D; Yang, MH; Ahuja, N								Learning to recognize three-dimensional objects								NEURAL COMPUTATION				14	5			1071	1103		10.1162/089976602753633394			MAY 2002	2002																		0899-7667	1530-888X		WOS:000174986900006	11972908	
