PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Austin, MP; Meyers, JA				Meyers, Jacqui/B-5130-2011; Austin, Mike/G-2199-2010				Current approaches to modelling the environmental niche of eucalypts: Implication for management of forest biodiversity								FOREST ECOLOGY AND MANAGEMENT				85	1-3			95	106		10.1016/S0378-1127(96)03753-X			SEP 1996	1996																		0378-1127			WOS:A1996VZ10700009		
J	BOSTON, AN; STOCKWELL, DRB								INTERACTIVE SPECIES DISTRIBUTION REPORTING, MAPPING AND MODELING USING THE WORLD-WIDE-WEB								COMPUTER NETWORKS AND ISDN SYSTEMS				28	1-2			231	238		10.1016/0169-7552(95)00113-9			DEC 1995	1995						2nd International World-Wide Web Conference - Mosaic and the Web2nd International World-Wide Web Conference - Mosaic and the Web	OCT 17-20, 1994OCT 17-20, 1994		CHICAGO, ILCHICAGO, IL									0169-7552			WOS:A1995TK32600025		
J	Corsi, F; Dupre, E; Boitani, L								A large-scale model of wolf distribution in Italy for conservation planning								CONSERVATION BIOLOGY				13	1			150	159		10.1046/j.1523-1739.1999.97269.x			FEB 1999	1999																		0888-8892	1523-1739		WOS:000078271000019		
J	DAVEY, SM; STOCKWELL, DRB								INCORPORATING WILDLIFE HABITAT INTO AN AI ENVIRONMENT - CONCEPTS, THEORY, AND PRACTICALITIES								AI APPLICATIONS				5	2			59	104					1991	1991																		1051-8266			WOS:A1991FX00200006		
J	Fielding, AH; Bell, JF								A review of methods for the assessment of prediction errors in conservation presence/absence models								ENVIRONMENTAL CONSERVATION				24	1			38	49		10.1017/S0376892997000088			MAR 1997	1997																		0376-8929			WOS:A1997XV97800008		
J	Gaston, KJ; Blackburn, TM				Blackburn, Tim/A-7685-2011				Mapping biodiversity using surrogates for species richness: Macro-scales and New World birds								PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES				262	1365			335	341		10.1098/rspb.1995.0214			DEC 22 1995	1995																		0962-8452	1471-2954		WOS:A1995TQ73800012		
J	Guisan, A; Zimmermann, NE				Guisan, Antoine/A-1057-2011; Zimmermann, Niklaus/A-4276-2008	Guisan, Antoine/0000-0002-3998-4815; Zimmermann, Niklaus/0000-0003-3099-9604			Predictive habitat distribution models in ecology								ECOLOGICAL MODELLING				135	2-3			147	186		10.1016/S0304-3800(00)00354-9			DEC 5 2000	2000																		0304-3800	1872-7026		WOS:000166247400004		
J	Jarvis, AM; Robertson, A								Predicting population sizes and priority conservation areas for 10 endemic Namibian bird species								BIOLOGICAL CONSERVATION				88	1			121	131		10.1016/S0006-3207(98)00060-3			APR 1999	1999																		0006-3207			WOS:000078180000012		
J	Joseph, L; Stockwell, D				Joseph, Leo/F-9235-2010				Temperature-based models of the migration of Swainson's Flycatcher (Myiarchus swainsoni) across South America: A new use for museum specimens of migratory birds								PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA				150				293	300					APR 14 2000	2000																		0097-3157			WOS:000086634500016		
J	Kaiser, J								Web tools - Searching museums from your desktop								SCIENCE				284	5416			888	888					MAY 7 1999	1999																		0036-8075			WOS:000080198800006		
