PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Ahn, Hongshik; Moon, Hojin; Fazzari, Melissa J.; Lim, Noha; Chen, James J.; Kodell, Ralph L.								Classification by ensembles from random partitions of high-dimensional data								COMPUTATIONAL STATISTICS & DATA ANALYSIS				51	12			6166	6179		10.1016/j.csda.2006.12.043			AUG 15 2007	2007																		0167-9473	1872-7352		WOS:000249316000056		
J	Avcibas, I; Kharrazi, M; Memon, N; Sankur, B								Image steganalysis with binary similarity measures								EURASIP JOURNAL ON APPLIED SIGNAL PROCESSING				2005	17			2749	2757		10.1155/ASP.2005.2749			2005	2005																		1110-8657	1687-0433		WOS:000235801900001		
J	Breiman, L								Random forests								MACHINE LEARNING				45	1			5	32		10.1023/A:1010933404324			OCT 2001	2001																		0885-6125	1573-0565		WOS:000170489900001		
J	Breiman, L								Bagging predictors								MACHINE LEARNING				24	2			123	140		10.1007/BF00058655			AUG 1996	1996																		0885-6125			WOS:A1996UZ38000003		
S	Brown, Gavin						Benediktsson, JA; Kittler, J; Roli, F		An Information Theoretic Perspective on Multiple Classifier Systems								MULTIPLE CLASSIFIER SYSTEMS, PROCEEDINGS		Lecture Notes in Computer Science		5519				344	353					2009	2009						8th International Workshop on Multiple Classifier Systems8th International Workshop on Multiple Classifier Systems	JUN 10-12, 2009JUN 10-12, 2009	Int Assioc Patern Recognit & Tech Comm 1; IEEE Geosci & Remote Sensing Soc, IEEE Iceland Sect; Univ Cagliari; Univ SurreyInt Assioc Patern Recognit & Tech Comm 1; IEEE Geosci & Remote Sensing Soc, IEEE Iceland Sect; Univ Cagliari; Univ Surrey	Univ Iceland, Reykjavik, ICELANDUniv Iceland, Reykjavik, ICELAND									0302-9743		978-3-642-02325-5	WOS:000269293000035		
J	Bryll, R; Gutierrez-Osuna, R; Quek, F					Gutierrez-Osuna, Ricardo/0000-0003-2817-2085			Attribute bagging: improving accuracy of classifier ensembles by using random feature subsets								PATTERN RECOGNITION				36	6			1291	1302	PII S0031-3203(02)00121-8	10.1016/S0031-3203(02)00121-8			JUN 2003	2003																		0031-3203			WOS:000181591400004		
S	Chen, Chunhua; Shi, Yun Q.			IEEE					JPEG image steganalysis utilizing both intrablock and interblock correlations								PROCEEDINGS OF 2008 IEEE INTERNATIONAL SYMPOSIUM ON CIRCUITS AND SYSTEMS, VOLS 1-10		IEEE International Symposium on Circuits and Systems						3029	3032		10.1109/ISCAS.2008.4542096			2008	2008						IEEE International Symposium on Circuits and SystemsIEEE International Symposium on Circuits and Systems	MAY 18-21, 2008MAY 18-21, 2008	IEEEIEEE	Seattle, WASeattle, WA									0271-4302		978-1-4244-2078-0	WOS:000258532102218		
J	Fan, Rong-En; Chang, Kai-Wei; Hsieh, Cho-Jui; Wang, Xiang-Rui; Lin, Chih-Jen					Lin, Chih-Jen/0000-0003-4684-8747			LIBLINEAR: A Library for Large Linear Classification								JOURNAL OF MACHINE LEARNING RESEARCH				9				1871	1874					AUG 2008	2008																		1532-4435			WOS:000262636800009		
J	Filler, Tomas; Fridrich, Jessica								Gibbs Construction in Steganography								IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY				5	4			705	720		10.1109/TIFS.2010.2077629			DEC 2010	2010																		1556-6013	1556-6021		WOS:000284360000009		
S	Fridrich, J						Fridrich, J		Feature-based steganalysis for JPEG images and its implications for future design of steganographic schemes								INFORMATION HIDING		LECTURE NOTES IN COMPUTER SCIENCE		3200				67	81					2004	2004						6th International Workshop on Information Hiding6th International Workshop on Information Hiding	MAY 23-25, 2004MAY 23-25, 2004	Informat Privacy Commiss; Ctr Innovat Law Policy; Bell Univ LabInformat Privacy Commiss; Ctr Innovat Law Policy; Bell Univ Lab	Toronto, CANADAToronto, CANADA									0302-9743		3-540-24207-4	WOS:000227471500006		
J	Ho, TK								The random subspace method for constructing decision forests								IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE				20	8			832	844					AUG 1998	1998																		0162-8828			WOS:000075372700006		
J	Kharrazi, Mehdi; Sencar, Husrev T.; Memon, Nasir								Improving steganalysis by fusion techniques: A case study with image steganography								TRANSACTIONS ON DATA HIDING AND MULTIMEDIA SECURITY 1		LECTURE NOTES IN COMPUTER SCIENCE		4300				123	137					2006	2006																		0302-9743			WOS:000242163900005		
J	Kolda, TG; Lewis, RM; Torczon, V				Kolda, Tamara/B-1628-2009	Kolda, Tamara/0000-0003-4176-2493			Optimization by direct search: New perspectives on some classical and modern methods								SIAM REVIEW				45	3			385	482		10.1137/S003614450242889			SEP 2003	2003																		0036-1445			WOS:000185334000002		
