PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ABBOTT, A; HRYCAK, A								MEASURING RESEMBLANCE IN SEQUENCE DATA - AN OPTIMAL MATCHING ANALYSIS OF MUSICIANS CAREERS								AMERICAN JOURNAL OF SOCIOLOGY				96	1			144	185		10.1086/229495			JUL 1990	1990																		0002-9602			WOS:A1990DM21300005		
J	AIZERMAN, MA; BRAVERMA.EM; ROZONOER, LI								THEORETICAL FOUNDATIONS OF POTENTIAL FUNCTION METHOD IN PATTERN RECOGNITION LEARNING								AUTOMATION AND REMOTE CONTROL				25	6			821	&					1965	1965																		0005-1179			WOS:A19656124600011		
J	AKAIKE, H								BAYESIAN-ANALYSIS OF MINIMUM AIC PROCEDURE								ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS				30	1			9	14		10.1007/BF02480194			1978	1978																		0020-3157			WOS:A1978FL01100002		
J	Aldrin, M				Aldrin, Magne/A-7425-2017	Aldrin, Magne/0000-0003-2718-8528			Moderate projection pursuit regression for multivariate response data								COMPUTATIONAL STATISTICS & DATA ANALYSIS				21	5			501	531		10.1016/0167-9473(94)00029-8			MAY 1996	1996																		0167-9473			WOS:A1996UG84800002		
J	Alon, U; Barkai, N; Notterman, DA; Gish, K; Ybarra, S; Mack, D; Levine, AJ								Broad patterns of gene expression revealed by clustering analysis of tumor and normal colon tissues probed by oligonucleotide arrays								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				96	12			6745	6750		10.1073/pnas.96.12.6745			JUN 8 1999	1999																		0027-8424			WOS:000080842200032	10359783	
J	ALTSCHUL, SF; GISH, W; MILLER, W; MYERS, EW; LIPMAN, DJ				Gish, Warren/C-8123-2012; Hypsa, Vaclav/G-9847-2014				BASIC LOCAL ALIGNMENT SEARCH TOOL								JOURNAL OF MOLECULAR BIOLOGY				215	3			403	410		10.1006/jmbi.1990.9999			OCT 5 1990	1990																		0022-2836			WOS:A1990ED16700008	2231712	
J	Amit, Y; Geman, D				Geman, Donald/A-3325-2010				Shape quantization and recognition with randomized trees								NEURAL COMPUTATION				9	7			1545	1588		10.1162/neco.1997.9.7.1545			OCT 1 1997	1997																		0899-7667			WOS:A1997XW95000007		
J	ANDERSON, TW								ESTIMATING LINEAR RESTRICTIONS ON REGRESSION COEFFICIENTS FOR MULTIVARIATE NORMAL DISTRIBUTIONS								ANNALS OF MATHEMATICAL STATISTICS				22	3			327	351		10.1214/aoms/1177729580			1951	1951																		0003-4851			WOS:A1951UM02000001		
J	Anderson, TW								Asymptotic distribution of the reduced rank regression estimator under general conditions								ANNALS OF STATISTICS				27	4			1141	1154					AUG 1999	1999																		0090-5364			WOS:000084855100002		
J	ANDERSON, TW								ESTIMATING LINEAR STATISTICAL RELATIONSHIPS								ANNALS OF STATISTICS				12	1			1	45		10.1214/aos/1176346390			1984	1984																		0090-5364			WOS:A1984SH35000001		
J	ASIMOV, D								THE GRAND TOUR - A TOOL FOR VIEWING MULTIDIMENSIONAL DATA								SIAM JOURNAL ON SCIENTIFIC AND STATISTICAL COMPUTING				6	1			128	143		10.1137/0906011			1985	1985																		0196-5204			WOS:A1985AAY2800011		
J	Attias, H								Independent factor analysis								NEURAL COMPUTATION				11	4			803	851		10.1162/089976699300016458			MAY 15 1999	1999																		0899-7667			WOS:000079660300001	10226184	
J	Baker, HV; Churchill, GA; Sebastiani, P; Gussoni, E; Kohane, IS; Ramoni, MF				Kohane, Isaac Kohane/K-3716-2012	Kohane, Isaac Kohane/0000-0003-2192-5160			Statistical challenges in functional genomics - Comment								STATISTICAL SCIENCE				18	1			60	70					FEB 2003	2003																		0883-4237			WOS:000184301600004		
J	Baker, SG; Pinsky, PF								A proposed design and analysis for comparing digital and analog mammography: Special receiver operating characteristic methods for cancer screening								JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION				96	454			421	428		10.1198/016214501753168136			JUN 2001	2001																		0162-1459			WOS:000168986400006		
J	BANFIELD, JD; RAFTERY, AE								ICE-FLOE IDENTIFICATION IN SATELLITE IMAGES USING MATHEMATICAL MORPHOLOGY AND CLUSTERING ABOUT PRINCIPAL CURVES								JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION				87	417			7	16		10.2307/2290446			MAR 1992	1992																		0162-1459			WOS:A1992HF27600002		
J	Belhumeur, PN; Hespanha, JP; Kriegman, DJ				Hespanha, Joao/C-2569-2008	Hespanha, Joao/0000-0003-2809-4718			Eigenfaces vs. Fisherfaces: Recognition using class specific linear projection								IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE				19	7			711	720		10.1109/34.598228			JUL 1997	1997																		0162-8828	1939-3539		WOS:A1997XM69300005		
S	Belkin, M; Niyogi, P						Dietterich, TG; Becker, S; Ghahramani, Z		Laplacian eigenmaps and spectral techniques for embedding and clustering								ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 14, VOLS 1 AND 2		ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS		14				585	591					2002	2002						15th Annual Conference on Neural Information Processing Systems (NIPS)15th Annual Conference on Neural Information Processing Systems (NIPS)	DEC 03-08, 2001DEC 03-08, 2001		VANCOUVER, CANADAVANCOUVER, CANADA									1049-5258		0-262-04208-8	WOS:000180520100073		
