PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ABE, N; WARMUTH, MK								ON THE COMPUTATIONAL-COMPLEXITY OF APPROXIMATING DISTRIBUTIONS BY PROBABILISTIC-AUTOMATA								MACHINE LEARNING				9	2-3			205	260		10.1007/BF00992677			JUL 1992	1992																		0885-6125			WOS:A1992JK35300005		
J	BAUM, LE; PETRIE, T; SOULES, G; WEISS, N								A MAXIMIZATION TECHNIQUE OCCURRING IN STATISTICAL ANALYSIS OF PROBABILISTIC FUNCTIONS OF MARKOV CHAINS								ANNALS OF MATHEMATICAL STATISTICS				41	1			164	&		10.1214/aoms/1177697196			1970	1970																		0003-4851			WOS:A1970F624500013		
B	BLUMER, A						CAPOCELLI, RM		APPLICATIONS OF DAWGS TO DATA-COMPRESSION								SEQUENCES: COMBINATORICS, COMPRESSION, SECURITY, AND TRANSMISSION								303	311					1990	1990						ADVANCED INTERNATIONAL WORKSHOP ON SEQUENCES : COMBINATORICS, COMPRESSION, SECURITY, AND TRANSMISSIONADVANCED INTERNATIONAL WORKSHOP ON SEQUENCES : COMBINATORICS, COMPRESSION, SECURITY, AND TRANSMISSION	JUN 06-11, 1988JUN 06-11, 1988	UNIV SALERNO, DEPT INFORMAT & APPLICAZ; IST ITALIANO STUDI FILOS; CNRUNIV SALERNO, DEPT INFORMAT & APPLICAZ; IST ITALIANO STUDI FILOS; CNR	NAPLES, ITALYNAPLES, ITALY											0-387-97186-6	WOS:A1990BQ27B00024		
J	DEMPSTER, AP; LAIRD, NM; RUBIN, DB								MAXIMUM LIKELIHOOD FROM INCOMPLETE DATA VIA EM ALGORITHM								JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-METHODOLOGICAL				39	1			1	38					1977	1977																		0035-9246			WOS:A1977DM46400001		
J	KUSHILEVITZ, E; MANSOUR, Y								LEARNING DECISION TREES USING THE FOURIER SPECTRUM								SIAM JOURNAL ON COMPUTING				22	6			1331	1348		10.1137/0222080			DEC 1993	1993																		0097-5397			WOS:A1993MK45100014		
J	LAIRD, P; SAUL, R								DISCRETE SEQUENCE PREDICTION AND ITS APPLICATIONS								MACHINE LEARNING				15	1			43	68		10.1007/BF01000408			APR 1994	1994																		0885-6125			WOS:A1994NP58700003		
J	NADAS, A								ESTIMATION OF PROBABILITIES IN THE LANGUAGE MODEL OF THE IBM SPEECH RECOGNITION SYSTEM								IEEE TRANSACTIONS ON ACOUSTICS SPEECH AND SIGNAL PROCESSING				32	4			859	861		10.1109/TASSP.1984.1164378			1984	1984																		0096-3518			WOS:A1984TJ16200020		
J	RISSANEN, J								COMPLEXITY OF STRINGS IN THE CLASS OF MARKOV SOURCES								IEEE TRANSACTIONS ON INFORMATION THEORY				32	4			526	532		10.1109/TIT.1986.1057210			JUL 1986	1986																		0018-9448			WOS:A1986D499600007		
J	RISSANEN, J								A UNIVERSAL DATA-COMPRESSION SYSTEM								IEEE TRANSACTIONS ON INFORMATION THEORY				29	5			656	664		10.1109/TIT.1983.1056741			1983	1983																		0018-9448			WOS:A1983RG90600003		
J	SHANNON, CE								PREDICTION AND ENTROPY OF PRINTED ENGLISH								BELL SYSTEM TECHNICAL JOURNAL				30	1			50	64					1951	1951																		0005-8580			WOS:A1951UH04500003		
