PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ADAMS, J; BALAS, E; ZAWACK, D								THE SHIFTING BOTTLENECK PROCEDURE FOR JOB SHOP SCHEDULING								MANAGEMENT SCIENCE				34	3			391	401		10.1287/mnsc.34.3.391			MAR 1988	1988																		0025-1909			WOS:A1988M523800008		
J	BALAS, E								MACHINE SEQUENCING VIA DISJUNCTIVE GRAPHS - AN IMPLICIT ENUMERATION ALGORITHM								OPERATIONS RESEARCH				17	6			941	&		10.1287/opre.17.6.941			1969	1969																		0030-364X			WOS:A1969E849900002		
J	BLACKSTONE, JH; PHILLIPS, DT; HOGG, GL								A STATE-OF-THE-ART SURVEY OF DISPATCHING RULES FOR MANUFACTURING JOB SHOP OPERATIONS								INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH				20	1			27	45		10.1080/00207548208947745			1982	1982																		0020-7543			WOS:A1982NJ81300003		
J	BLAZEWICZ, J; DROR, M; WEGLARZ, J				Blazewicz, Jacek/L-5597-2014; Weglarz, Jan/K-9001-2014	Blazewicz, Jacek/0000-0001-8326-1094; 			MATHEMATICAL-PROGRAMMING FORMULATIONS FOR MACHINE SCHEDULING - A SURVEY								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				51	3			283	300		10.1016/0377-2217(91)90304-E			APR 15 1991	1991																		0377-2217			WOS:A1991FT00100001		
J	CARLIER, J								THE ONE-MACHINE SEQUENCING PROBLEM								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				11	1			42	47		10.1016/S0377-2217(82)80007-6			1982	1982																		0377-2217			WOS:A1982PF11300005		
J	DAUZEREPERES, S; LASSERRE, JB				Dauzere-Peres, Stephane/H-9328-2012	Dauzere-Peres, Stephane/0000-0002-3566-3248			A MODIFIED SHIFTING BOTTLENECK PROCEDURE FOR JOB-SHOP SCHEDULING								INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH				31	4			923	932		10.1080/00207549308956766			APR 1993	1993																		0020-7543			WOS:A1993KV18200012		
J	GIFFLER, B; THOMPSON, GL								ALGORITHMS FOR SOLVING PRODUCTION-SCHEDULING PROBLEMS								OPERATIONS RESEARCH				8	4			487	503		10.1287/opre.8.4.487			1960	1960																		0030-364X			WOS:A1960XF69700004		
J	GLOVER, F								FUTURE PATHS FOR INTEGER PROGRAMMING AND LINKS TO ARTIFICIAL-INTELLIGENCE								COMPUTERS & OPERATIONS RESEARCH				13	5			533	549		10.1016/0305-0548(86)90048-1			1986	1986																		0305-0548	1873-765X		WOS:A1986E897800003		
