PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Amores, A; Force, A; Yan, YL; Joly, L; Amemiya, C; Fritz, A; Ho, RK; Langeland, J; Prince, V; Wang, YL; Westerfield, M; Ekker, M; Postlethwait, JH								Zebrafish hox clusters and vertebrate genome evolution								SCIENCE				282	5394			1711	1714		10.1126/science.282.5394.1711			NOV 27 1998	1998																		0036-8075			WOS:000077246600048	9831563	
J	ANGELINE, PJ; SAUNDERS, GM; POLLACK, JB								AN EVOLUTIONARY ALGORITHM THAT CONSTRUCTS RECURRENT NEURAL NETWORKS								IEEE TRANSACTIONS ON NEURAL NETWORKS				5	1			54	65		10.1109/72.265960			JAN 1994	1994																		1045-9227			WOS:A1994MY60000006	18267779	
B	ANGELINE, PJ; POLLACK, JB						Forrest, S		COMPETITIVE ENVIRONMENTS EVOLVE BETTER SOLUTIONS FOR COMPLEX TASKS								PROCEEDINGS OF THE FIFTH INTERNATIONAL CONFERENCE ON GENETIC ALGORITHMS								264	270					1993	1993						5th International Conference on Genetic Algorithms5th International Conference on Genetic Algorithms	JUL 17-21, 1993JUL 17-21, 1993		UNIV ILLINOIS URBANA CHAMPAIGN, URBANA, ILUNIV ILLINOIS URBANA CHAMPAIGN, URBANA, IL											1-558-60299-2	WOS:A1993BZ56M00036		
S	Attias, H						Solla, SA; Leen, TK; Muller, KR		A variational Bayesian framework for graphical models								ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 12		ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS		12				209	215					2000	2000						13th Annual Conference on Neural Information Processing Systems (NIPS)13th Annual Conference on Neural Information Processing Systems (NIPS)	NOV 29-DEC 04, 1999NOV 29-DEC 04, 1999		COCO									1049-5258		0-262-19450-3	WOS:000165048700030		
J	CARROLL, SB								HOMEOTIC GENES AND THE EVOLUTION OF ARTHROPODS AND CHORDATES								NATURE				376	6540			479	485		10.1038/376479a0			AUG 10 1995	1995																		0028-0836			WOS:A1995RN62200036	7637779	
J	DAWKINS, R; KREBS, JR								ARMS RACES BETWEEN AND WITHIN SPECIES								PROCEEDINGS OF THE ROYAL SOCIETY SERIES B-BIOLOGICAL SCIENCES				205	1161			489	511		10.1098/rspb.1979.0081			1979	1979																		0080-4649			WOS:A1979HN99900005	42057	
J	Force, A; Lynch, M; Pickett, FB; Amores, A; Yan, YL; Postlethwait, J								Preservation of duplicate genes by complementary, degenerative mutations								GENETICS				151	4			1531	1545					APR 1999	1999																		0016-6731			WOS:000079560100024	10101175	
J	Gomez, F; Miikkulainen, R								Incremental evolution of complex general behavior								ADAPTIVE BEHAVIOR				5	3-4			317	342		10.1177/105971239700500305			WIN-SPR 1997	1997																		1059-7123			WOS:A1997XK45200005		
J	HOLLAND, PWH; GARCIAFERNANDEZ, J; WILLIAMS, NA; SIDOW, A				Garcia-Fernandez, Jordi/B-3839-2013	Garcia-Fernandez, Jordi/0000-0001-5677-5970			GENE DUPLICATIONS AND THE ORIGINS OF VERTEBRATE DEVELOPMENT								DEVELOPMENT								125	133				S	1994	1994																		0950-1991			WOS:A1994QK89700014	7579513	
J	Jim, KC; Giles, CL								Talking helps: Evolving communicating agents for the predator-prey pursuit problem								ARTIFICIAL LIFE				6	3			237	254		10.1162/106454600568861			SUM 2000	2000																		1064-5462	1530-9185		WOS:000167089000004	11224918	
J	Lipson, H; Pollack, JB								Automatic design and manufacture of robotic lifeforms								NATURE				406	6799			974	978					AUG 31 2000	2000																		0028-0836			WOS:000089020200039	10984047	
J	Martin, AP								Increasing genomic complexity by gene duplication and the origin of vertebrates								AMERICAN NATURALIST				154	2			111	128		10.1086/303231			AUG 1999	1999																		0003-0147			WOS:000082405900001		
