PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ALON, N								EIGENVALUES AND EXPANDERS								COMBINATORICA				6	2			83	96		10.1007/BF02579166			1986	1986																		0209-9683	1439-6912		WOS:A1986G057400001		
J	Boyd, Stephen; Ghosh, Arpita; Prabhakar, Balaji; Shah, Devavrat								Randomized gossip algorithms								IEEE TRANSACTIONS ON INFORMATION THEORY				52	6			2508	2530		10.1109/TIT.2006.874516			JUN 2006	2006																		0018-9448	1557-9654		WOS:000238319400016		
J	CORTES, C; VAPNIK, V								SUPPORT-VECTOR NETWORKS								MACHINE LEARNING				20	3			273	297		10.1023/A:1022627411411			SEP 1995	1995																		0885-6125			WOS:A1995RX35400003		
J	Gupta, P; Kumar, PR								The capacity of wireless networks								IEEE TRANSACTIONS ON INFORMATION THEORY				46	2			388	404		10.1109/18.825799			MAR 2000	2000																		0018-9448			WOS:000085870000004		
J	Johansson, Bjorn; Rabi, Maben; Johansson, Mikael								A RANDOMIZED INCREMENTAL SUBGRADIENT METHOD FOR DISTRIBUTED OPTIMIZATION IN NETWORKED SYSTEMS								SIAM JOURNAL ON OPTIMIZATION				20	3			1157	1170		10.1137/08073038X			2009	2009																		1052-6234			WOS:000277836500002		
J	Kalai, A; Vempala, S								Efficient algorithms for online decision problems								JOURNAL OF COMPUTER AND SYSTEM SCIENCES				71	3			291	307		10.1016/j.jcss.2004.10.016			OCT 2005	2005																		0022-0000			WOS:000232180200004		
J	Li, D; WOng, KD; Hu, YH; Sayeed, AM				Magazine, Signal Processing/E-9947-2015				Detection, classification, and tracking of targets								IEEE SIGNAL PROCESSING MAGAZINE				19	2			17	29		10.1109/79.985674			MAR 2002	2002																		1053-5888			WOS:000173993100003		
J	Mosk-Aoyama, Damon; Roughgarden, Tim; Shah, Devavrat								FULLY DISTRIBUTED ALGORITHMS FOR CONVEX OPTIMIZATION PROBLEMS								SIAM JOURNAL ON OPTIMIZATION				20	6			3260	3279		10.1137/080743706			2010	2010																		1052-6234			WOS:000285547100024		
J	Nedic, Angelia; Olshevsky, Alex; Ozdaglar, Asuman; Tsitsiklis, John N.								On Distributed Averaging Algorithms and Quantization Effects								IEEE TRANSACTIONS ON AUTOMATIC CONTROL				54	11			2506	2517		10.1109/TAC.2009.2031203			NOV 2009	2009																		0018-9286			WOS:000271436600003		
J	Nedic, Angelia; Ozdaglar, Asurrian								Distributed Subgradient Methods for Multi-Agent Optimization								IEEE TRANSACTIONS ON AUTOMATIC CONTROL				54	1			48	61		10.1109/TAC.2008.2009515			JAN 2009	2009																		0018-9286	1558-2523		WOS:000262817100004		
J	Ram, S. Sundhar; Nedic, A.; Veeravalli, V. V.								Distributed Stochastic Subgradient Projection Algorithms for Convex Optimization								JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS				147	3			516	545		10.1007/s10957-010-9737-7			DEC 2010	2010																		0022-3239			WOS:000283509600008		
J	TSITSIKLIS, JN; BERTSEKAS, DP; ATHANS, M								DISTRIBUTED ASYNCHRONOUS DETERMINISTIC AND STOCHASTIC GRADIENT OPTIMIZATION ALGORITHMS								IEEE TRANSACTIONS ON AUTOMATIC CONTROL				31	9			803	812		10.1109/TAC.1986.1104412			SEP 1986	1986																		0018-9286			WOS:A1986D759000001		
