PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Basili, VR; Briand, LC; Melo, WL								A validation of object-oriented design metrics as quality indicators								IEEE TRANSACTIONS ON SOFTWARE ENGINEERING				22	10			751	761		10.1109/32.544352			OCT 1996	1996																		0098-5589	1939-3520		WOS:A1996VW20800005		
J	Briand, LC; Melo, WL; Wust, J								Assessing the applicability of fault-proneness models across object-oriented software projects								IEEE TRANSACTIONS ON SOFTWARE ENGINEERING				28	7			706	720		10.1109/TSE.2002.1019484			JUL 2002	2002																		0098-5589			WOS:000176660700007		
J	Briand, LC; Wust, J; Daly, JW; Porter, DV								Exploring the relationships between design measures and software quality in object-oriented systems								JOURNAL OF SYSTEMS AND SOFTWARE				51	3			245	273		10.1016/S0164-1212(99)00102-8			MAY 1 2000	2000																		0164-1212	1873-1228		WOS:000086743400008		
J	Chen, YF; Gansner, ER; Koutsofios, E								A C++ data model supporting reachability analysis and dead code detection								IEEE TRANSACTIONS ON SOFTWARE ENGINEERING				24	9			682	694		10.1109/32.713323			SEP 1998	1998						Joint meeting of the 6th European Software Engineering Conference / 5th ACM SIGSOFT Symposium on the Foundations of Software Engineering (ESEC/FSE 97)Joint meeting of the 6th European Software Engineering Conference / 5th ACM SIGSOFT Symposium on the Foundations of Software Engineering (ESEC/FSE 97)	SEP, 1997SEP, 1997		ZURICH, SWITZERLANDZURICH, SWITZERLAND									0098-5589			WOS:000075964600002		
J	CHIDAMBER, SR; KEMERER, CF								A METRICS SUITE FOR OBJECT-ORIENTED DESIGN								IEEE TRANSACTIONS ON SOFTWARE ENGINEERING				20	6			476	493		10.1109/32.295895			JUN 1994	1994																		0098-5589			WOS:A1994NR06400006		
S	Ferenc, R; Siket, I; Gyimothy, T			ieee computer society					Extracting facts from open source software								20TH IEEE INTERNATIONAL CONFERENCE ON SOFTWARE MAINTENANCE, PROCEEDINGS		Proceedings-IEEE International Conference on Software Maintenance						60	69		10.1109/ICSM.2004.1357790			2004	2004						20th IEEE International Conference on Software Maintenance (ICSM 2004)20th IEEE International Conference on Software Maintenance (ICSM 2004)	SEP 11-14, 2004SEP 11-14, 2004	IEEE Comp SocIEEE Comp Soc	Chicago, ILChicago, IL									1063-6773		0-7695-2213-0	WOS:000224491800006		
S	Ferenc, R; Beszedes, A; Tarkiainen, M; Gyimothy, T			IEEE COMPUTER SOCIETY; IEEE COMPUTER SOCIETY; IEEE COMPUTER SOCIETY					Columbus - Reverse engineering tool and schema for C++								INTERNATIONAL CONFERENCE ON SOFTWARE MAINTENANCE, PROCEEDINGS		Proceedings-IEEE International Conference on Software Maintenance						172	181		10.1109/ICSM.2002.1167764			2002	2002						18th International Conference on Software Maintenance18th International Conference on Software Maintenance	OCT 03-06, 2002OCT 03-06, 2002	IEEE Comp Soc Tech Council Software EngnIEEE Comp Soc Tech Council Software Engn	MONTREAL, CANADAMONTREAL, CANADA									1063-6773		0-7695-1819-2	WOS:000178983800022		
B	Ferenc, R; Beszedes, A						Gyimothy, T; EAbreu, FB		Data exchange with the Columbus schema for C++								SIXTH EUROPEAN CONFERENCE ON SOFTWARE MAINTENANCE AND REENGINEERING, PROCEEDINGS								59	66		10.1109/CSMR.2002.995790			2002	2002						6th European Conference on Software Maintenance and Reengineering (CSMR 2002)6th European Conference on Software Maintenance and Reengineering (CSMR 2002)	MAR 11-13, 2002MAR 11-13, 2002	IEEE Comp Soc Tech Council Software Engn; IEEE Comp Soc; IEEE; Reengn Forum; Univ Szeged; Case Consult GmbHIEEE Comp Soc Tech Council Software Engn; IEEE Comp Soc; IEEE; Reengn Forum; Univ Szeged; Case Consult GmbH	BUDAPEST, HUNGARYBUDAPEST, HUNGARY											0-7695-1438-3	WOS:000175586300006		
J	Finnigan, PJ; Holt, RC; Kalas, I; Kerr, S; Kontogiannis, K; Muller, HA; Mylopoulos, J; Perelgut, SG; Stanley, M; Wong, K								The software bookshelf								IBM SYSTEMS JOURNAL				36	4			564	593					1997	1997																		0018-8670			WOS:A1997YD82500007		
B	Fioravanti, F; Nesi, P					nesi, paolo/0000-0003-1044-3107	Sousa, P; Ebert, J		A study on fault-proneness detection of Object-Oriented systems								FIFTH EUROPEAN CONFERENCE ON SOFTWARE MAINTENANCE AND REENGINEERING, PROCEEDINGS								121	130					2001	2001						5th European Conference on Software Maintenance and Reengineering (CSMR 2001)5th European Conference on Software Maintenance and Reengineering (CSMR 2001)	MAR 14-16, 2001MAR 14-16, 2001	IEEE Comp Soc Tech Council Software Engn; IEEE Comp Soc; Reengn Forum; Univ Nova Lisboa; Ist Super Tecnico; InescIEEE Comp Soc Tech Council Software Engn; IEEE Comp Soc; Reengn Forum; Univ Nova Lisboa; Ist Super Tecnico; Inesc	LISBON, PORTUGALLISBON, PORTUGAL											0-7695-1028-0; 0-7695-1029-9	WOS:000167921900014		
J	Subramanyam, R; Krishnan, MS								Empirical analysis of CK metrics for object-oriented design complexity: Implications for software defects								IEEE TRANSACTIONS ON SOFTWARE ENGINEERING				29	4			297	310		10.1109/TSE.2003.1191795			APR 2003	2003																		0098-5589	1939-3520		WOS:000182070000002		
