PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Abbasi, Ahmed; Chen, Hsinchun; Thoms, Sven; Fu, Tianjun								Affect analysis of web forums and blogs using correlation ensembles								IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING				20	9			1168	1180		10.1109/TKDE.2008.51			SEP 2008	2008																		1041-4347			WOS:000257760700002		
J	Argamon, Shlomo; Whitelaw, Casey; Chase, Paul; Hota, Sobhan Raj; Garg, Navendu; Levitan, Shlomo								Stylistic text classification using functional lexical features								JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY				58	6			802	822		10.1002/asi.20553			APR 2007	2007																		1532-2882			WOS:000246379800005		
J	Artstein, Ron; Poesio, Massimo					Poesio, Massimo/0000-0001-8469-2072			Inter-Coder Agreement for Computational Linguistics								COMPUTATIONAL LINGUISTICS				34	4			555	596		10.1162/coli.07-034-R2			DEC 2008	2008																		0891-2017			WOS:000261404600004		
S	Balahur, Alexandra; Kozareva, Zornitsa; Montoyo, Andres				Montoyo, Andres/H-2531-2015	Montoyo, Andres/0000-0002-3076-0890	Gelbukh, A		Determining the Polarity and Source of Opinions Expressed in Political Debates								COMPUTATIONAL LINGUISTICS AND INTELLIGENT TEXT PROCESSING		Lecture Notes in Computer Science		5449				468	480					2009	2009						10th International Conference on Intelligent Text Processing and Computational Linguistics10th International Conference on Intelligent Text Processing and Computational Linguistics	MAR 01-07, 2009MAR 01-07, 2009	Natl Polytechn Inst, Ctr Comput Res, Nat Language & Text Processing; Mexican Soc Artificial IntelligenceNatl Polytechn Inst, Ctr Comput Res, Nat Language & Text Processing; Mexican Soc Artificial Intelligence	Mexico City, MEXICOMexico City, MEXICO									0302-9743		978-3-642-00381-3	WOS:000265681200038		
J	Barrett, LF								Valence is a basic building block of emotional life								JOURNAL OF RESEARCH IN PERSONALITY				40	1			35	55		10.1016/j.jrp.2005.08.006			FEB 2006	2006						5th Annual Conference of the Association-of-Research-in-Personality5th Annual Conference of the Association-of-Research-in-Personality	JAN, 2005JAN, 2005		New Orleans, LANew Orleans, LA									0092-6566			WOS:000234663500004		
B	Crystal, D								Language and the Internet, 2nd Edition								LANGUAGE AND THE INTERNET, 2ND EDITION								1	304		10.2277/ 0521868599			2006	2006																				978-0-521-86859-4	WOS:000297739800012		
J	Denecke, Kerstin; Nejdl, Wolfgang				Roundtree, Aimee/B-8838-2012				How valuable is medical social media data? Content analysis of the medical web								INFORMATION SCIENCES				179	12			1870	1880		10.1016/j.ins.2009.01.025			MAY 30 2009	2009																		0020-0255			WOS:000265968100007		
J	Derks, Daantje; Fischer, Agneta H.; Bos, Arjan E. R.								The role of emotion in computer-mediated communication: A review								COMPUTERS IN HUMAN BEHAVIOR				24	3			766	785		10.1016/j.chb.2007.04.004			MAY 2008	2008																		0747-5632			WOS:000254662900009		
J	Derks, Daantje; Bos, Arjan E. R.; von Grumbkow, Jasper								Emoticons and online message interpretation								SOCIAL SCIENCE COMPUTER REVIEW				26	3			379	388		10.1177/0894439307311611			FAL 2008	2008																		0894-4393			WOS:000258004700009		
J	DIENER, E; EMMONS, RA								THE INDEPENDENCE OF POSITIVE AND NEGATIVE AFFECT								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				47	5			1105	1117		10.1037/0022-3514.47.5.1105			1984	1984																		0022-3514			WOS:A1984AAL5700014	6520704	
J	EKMAN, P								AN ARGUMENT FOR BASIC EMOTIONS								COGNITION & EMOTION				6	3-4			169	200		10.1080/02699939208411068			MAY-JUL 1992	1992																		0269-9931			WOS:A1992JD26200002		
S	Gamon, M; Aue, A; Corston-Oliver, S; Ringger, E						Famili, AF; Kok, JN; Pena, JM; Siebes, A; Feelders, A		Pulse: Mining customer opinions from free text								ADVANCES IN INTELLIGENT DATA ANALYSIS VI, PROCEEDINGS		LECTURE NOTES IN COMPUTER SCIENCE		3646				121	132					2005	2005						6th International Symposium on Intelligent Data Analysis6th International Symposium on Intelligent Data Analysis	SEP 08-10, 2005SEP 08-10, 2005		Madrid, SPAINMadrid, SPAIN									0302-9743		3-540-28795-7	WOS:000232273600012		
B	Gill, Alastair J.; Gergle, Darren; French, Robert M.; Oberlander, Jon			ACM			Burnett, M; Costabile, MF; Catarci, T; DeRuyter, B; Tan, D; Czerwinski, M; Lund, A		Emotion Rating from Short Blog Texts								CHI 2008: 26TH ANNUAL CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS VOLS 1 AND 2, CONFERENCE PROCEEDINGS								1121	1124					2008	2008						26th Annual CHI Conference on Human Factors in Computing Systems26th Annual CHI Conference on Human Factors in Computing Systems	APR 05-10, 2008APR 05-10, 2008	ACM SIGCHI; Microsoft; Google; Autodesk; NSF; Oracle; SAP; SOURCEFORGE; Nokia; eLearn MagazineACM SIGCHI; Microsoft; Google; Autodesk; NSF; Oracle; SAP; SOURCEFORGE; Nokia; eLearn Magazine	Florence, ITALYFlorence, ITALY											978-1-60558-011-1	WOS:000268586100135		
