PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Burges, CJC								A tutorial on Support Vector Machines for pattern recognition								DATA MINING AND KNOWLEDGE DISCOVERY				2	2			121	167		10.1023/A:1009715923555			JUN 1998	1998																		1384-5810			WOS:000076132400002		
J	Dudoit, S; Fridlyand, J; Speed, TP				Speed, Terence /B-8085-2009	Speed, Terence /0000-0002-5403-7998			Comparison of discrimination methods for the classification of tumors using gene expression data								JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION				97	457			77	87		10.1198/016214502753479248			MAR 2002	2002																		0162-1459			WOS:000173997500008		
J	Evgeniou, T; Pontil, M; Poggio, T								Regularization networks and support vector machines								ADVANCES IN COMPUTATIONAL MATHEMATICS				13	1			1	50		10.1023/A:1018946025316			2000	2000																		1019-7168			WOS:000085682400001		
J	Ferris, MC; Munson, TS								Interfaces to PATH 3.0: Design, implementation and usage								COMPUTATIONAL OPTIMIZATION AND APPLICATIONS				12	1-3			207	227		10.1023/A:1008636318275			JAN 1999	1999																		0926-6003			WOS:000080941900011		
J	Key, JR; Schweiger, AJ				Key, Jeffrey/F-5597-2010	Key, Jeffrey/0000-0001-6109-3050			Tools for atmospheric radiative transfer: Streamer and FluxNet								COMPUTERS & GEOSCIENCES				24	5			443	451		10.1016/S0098-3004(97)00130-1			JUN 1998	1998																		0098-3004			WOS:000075104400004		
J	Khan, J; Wei, JS; Ringner, M; Saal, LH; Ladanyi, M; Westermann, F; Berthold, F; Schwab, M; Antonescu, CR; Peterson, C; Meltzer, PS				Saal, Lao/A-2919-2011; Ringner, Markus/G-3641-2011; Khan, Javed/P-9157-2014	Saal, Lao/0000-0002-0815-1896; Ringner, Markus/0000-0001-5469-8940; Khan, Javed/0000-0002-5858-0488			Classification and diagnostic prediction of cancers using gene expression profiling and artificial neural networks								NATURE MEDICINE				7	6			673	679		10.1038/89044			JUN 2001	2001																		1078-8956			WOS:000169081500034	11385503	
J	KIMELDORF, G; WAHBA, G								SOME RESULTS ON TCHEBYCHEFFIAN SPLINE FUNCTIONS								JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS				33	1			82	+		10.1016/0022-247X(71)90184-3			1971	1971																		0022-247X	1096-0813		WOS:A1971I262700010		
J	Lee, Y; Lee, CK				Lee, Cheol-Koo/F-2103-2013; Lee, Yoonkyung/K-4360-2015	Lee, Cheol-Koo/0000-0003-3927-9195; Lee, Yoonkyung/0000-0002-5756-6588			Classification of multiple cancer types by tip multicategory support vector machines using gene expression data								BIOINFORMATICS				19	9			1132	1139		10.1093/bioinformatics/btg102			JUN 12 2003	2003						NIPS Workshop on Machine Learning Techniques for BioinformaticsNIPS Workshop on Machine Learning Techniques for Bioinformatics	DEC, 2001DEC, 2001		WHISTLER, CANADAWHISTLER, CANADA									1367-4803			WOS:000183528300012	12801874	
J	Lee, Y; Wahba, G; Ackerman, SA				Ackerman, Steven/G-1640-2011; Lee, Yoonkyung/K-4360-2015	Ackerman, Steven/0000-0002-4476-0269; Lee, Yoonkyung/0000-0002-5756-6588			Cloud classification of satellite radiance data by multicategory support vector machines								JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY				21	2			159	169		10.1175/1520-0426(2004)021<0159:CCOSRD>2.0.CO;2			FEB 2004	2004																		0739-0572			WOS:000189391100002		
J	Lin, Y								Support vector machines and the Bayes rule in classification								DATA MINING AND KNOWLEDGE DISCOVERY				6	3			259	275		10.1023/A:1015469627679			JUL 2002	2002																		1384-5810			WOS:000175503600002		
J	Lin, Y; Lee, Y; Wahba, G				Lee, Yoonkyung/K-4360-2015	Lee, Yoonkyung/0000-0002-5756-6588			Support vector machines for classification in nonstandard situations								MACHINE LEARNING				46	1-3			191	202		10.1023/A:1012406528296			2002	2002																		0885-6125			WOS:000171501800009		
