PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Auer, P; Cesa-Bianchi, N; Gentile, C								Adaptive and self-confident on-line learning algorithms								JOURNAL OF COMPUTER AND SYSTEM SCIENCES				64	1			48	75		10.1006/jcss.2001.1795			FEB 2002	2002						13th Annual Conference on Computational Learning Theory (COLT 2000)13th Annual Conference on Computational Learning Theory (COLT 2000)	JUN 28-JUL 01, 2000JUN 28-JUL 01, 2000		PALO ALTO, CAPALO ALTO, CA									0022-0000	1090-2724		WOS:000175225900004		
J	Auer, P; Warmuth, MK								Tracking the best disjunction								MACHINE LEARNING				32	2			127	150		10.1023/A:1007472513967			AUG 1998	1998																		0885-6125	1573-0565		WOS:000076101100004		
S	Cauwenberghs, G; Poggio, T						Leen, TK; Dietterich, TG; Tresp, V		Incremental and decremental support vector machine learning								ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 13		ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS		13				409	415					2001	2001						14th Annual Neural Information Processing Systems Conference (NIPS)14th Annual Neural Information Processing Systems Conference (NIPS)	NOV 27-DEC 02, 2000NOV 27-DEC 02, 2000		DENVER, CODENVER, CO									1049-5258		0-262-12241-3	WOS:000171891800058		
S	Cesa-Bianchi, N; Conconi, A; Gentile, C						Dietterich, TG; Becker, S; Ghahramani, Z		On the generalization ability of on-line learning algorithms								ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 14, VOLS 1 AND 2		ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS		14				359	366					2002	2002						15th Annual Conference on Neural Information Processing Systems (NIPS)15th Annual Conference on Neural Information Processing Systems (NIPS)	DEC 03-08, 2001DEC 03-08, 2001		VANCOUVER, CANADAVANCOUVER, CANADA									1049-5258		0-262-04208-8	WOS:000180520100045		
J	CesaBianchi, N; Long, PM; Warmuth, MK								Worst-case quadratic loss bounds for prediction using linear functions and gradient descent								IEEE TRANSACTIONS ON NEURAL NETWORKS				7	3			604	619		10.1109/72.501719			MAY 1996	1996																		1045-9227	1941-0093		WOS:A1996UL25900006	18263458	
S	Csato, L; Opper, M						Leen, TK; Dietterich, TG; Tresp, V		Sparse representation for Gaussian process models								ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 13		ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS		13				444	450					2001	2001						14th Annual Neural Information Processing Systems Conference (NIPS)14th Annual Neural Information Processing Systems Conference (NIPS)	NOV 27-DEC 02, 2000NOV 27-DEC 02, 2000		DENVER, CODENVER, CO									1049-5258		0-262-12241-3	WOS:000171891800063		
J	Freund, Y; Schapire, RE								Large margin classification using the perceptron algorithm								MACHINE LEARNING				37	3			277	296		10.1023/A:1007662407062			DEC 1999	1999						11th Annual Conference on Computational Learning Theory11th Annual Conference on Computational Learning Theory	JUL 24-26, 1998JUL 24-26, 1998		MADISON, WIMADISON, WI									0885-6125	1573-0565		WOS:000083963600003		
S	Graepel, T; Herbrich, R; Williamson, RC						Leen, TK; Dietterich, TG; Tresp, V		From margin to sparsity								ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 13		ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS		13				210	216					2001	2001						14th Annual Neural Information Processing Systems Conference (NIPS)14th Annual Neural Information Processing Systems Conference (NIPS)	NOV 27-DEC 02, 2000NOV 27-DEC 02, 2000		DENVER, CODENVER, CO									1049-5258		0-262-12241-3	WOS:000171891800030		
S	Herbster, M						Helmbold, D; Williamson, B		Learning additive models Online with fast evaluating kernels								COMPUTATIONAL LEARNING THEORY, PROCEEDINGS		Lecture Notes in Artificial Intelligence		2111				444	460					2001	2001						14th Annual Conference on Computational Learning Theory (COLT 2001)/5th European Conference on Computational Learning Theory (EuroCOLT 2001)14th Annual Conference on Computational Learning Theory (COLT 2001)/5th European Conference on Computational Learning Theory (EuroCOLT 2001)	JUL 16-19, 2001JUL 16-19, 2001	Natl Res Inst Math & Comp Sci; Amsterdam Hist Museum; Netherlands Org Sci ResNatl Res Inst Math & Comp Sci; Amsterdam Hist Museum; Netherlands Org Sci Res	AMSTERDAM, NETHERLANDSAMSTERDAM, NETHERLANDS									0302-9743		3-540-42343-5	WOS:000175010700029		
J	Herbster, M; Warmuth, MK								Tracking the best linear predictor								JOURNAL OF MACHINE LEARNING RESEARCH				1	4			281	309		10.1162/153244301753683726			FAL 2001	2001																		1532-4435			WOS:000173337000002		
