PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Alcala-Fdez, J.; Fernandez, A.; Luengo, J.; Derrac, J.; Garcia, S.; Sanchez, L.; Herrera, F.				Herrera, Francisco/C-6856-2008; Alcala-Fdez, Jesus/C-6795-2012; Fernandez, Alberto/G-3827-2014; Sanchez, Luciano/K-8715-2014; Luengo, Julian/L-6569-2014; Garcia, Salvador/N-3624-2013; Luengo, Julian/D-1307-2017	Herrera, Francisco/0000-0002-7283-312X; Alcala-Fdez, Jesus/0000-0002-6190-3575; Sanchez, Luciano/0000-0002-2446-1915; Luengo, Julian/0000-0003-3952-3629; Garcia, Salvador/0000-0003-4494-7565; Luengo, Julian/0000-0003-3952-3629			KEEL Data-Mining Software Tool: Data Set Repository, Integration of Algorithms and Experimental Analysis Framework								JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING				17	2-3	SI		255	287					2011	2011						10th International Conference on Intelligent Data Engineering and Automated Learning (IDEAL 2009)10th International Conference on Intelligent Data Engineering and Automated Learning (IDEAL 2009)	SEP 23-26, 2009SEP 23-26, 2009	Junta Castilla & Leon; Univ Burgos; Diputac Burgos; Ayuntamiento Burgos; GCI; CSA; FAE; FECJunta Castilla & Leon; Univ Burgos; Diputac Burgos; Ayuntamiento Burgos; GCI; CSA; FAE; FEC	Burgos, SPAINBurgos, SPAIN									1542-3980			WOS:000288045700008		
J	Alcala-Fdez, J.; Sanchez, L.; Garcia, S.; del Jesus, M. J.; Ventura, S.; Garrell, J. M.; Otero, J.; Romero, C.; Bacardit, J.; Rivas, V. M.; Fernandez, J. C.; Herrera, F.				Ventura, Sebastian/A-7753-2008; Herrera, Francisco/C-6856-2008; Romero, Cristobal/H-4782-2011; Alcala-Fdez, Jesus/C-6795-2012; Bacardit, Jaume/F-9293-2014; Otero, Jose/K-7636-2014; Sanchez, Luciano/K-8715-2014; Del Jesus, Maria Jose/D-3932-2012; Garcia, Salvador/N-3624-2013; Fernandez, Juan Carlos/K-9840-2014; Mangan, Rachel/A-8824-2008; Rivas Santos, Victor Manuel/L-9937-2014	Ventura, Sebastian/0000-0003-4216-6378; Herrera, Francisco/0000-0002-7283-312X; Romero, Cristobal/0000-0003-4180-4948; Alcala-Fdez, Jesus/0000-0002-6190-3575; Bacardit, Jaume/0000-0002-2692-7205; Otero, Jose/0000-0002-5974-0893; Sanchez, Luciano/0000-0002-2446-1915; Del Jesus, Maria Jose/0000-0002-7891-3059; Garcia, Salvador/0000-0003-4494-7565; Fernandez, Juan Carlos/0000-0001-8849-6036; Mangan, Rachel/0000-0002-8788-9214; Rivas Santos, Victor Manuel/0000-0002-0681-7172			KEEL: a software tool to assess evolutionary algorithms for data mining problems								SOFT COMPUTING				13	3			307	318		10.1007/s00500-008-0323-y			FEB 2009	2009																		1432-7643	1433-7479		WOS:000260518500008		
J	Barandela, R; Sanchez, JS; Valdovinos, RM				Sanchez, Jose Salvador/F-9767-2016; Valdovinos Rosas, Rosa Maria/B-9945-2016	Sanchez, Jose Salvador/0000-0003-1053-4658; Valdovinos Rosas, Rosa Maria/0000-0001-9954-0653			New applications of ensembles of classifiers								PATTERN ANALYSIS AND APPLICATIONS				6	3			245	256		10.1007/s10044-003-0192-z			DEC 2003	2003																		1433-7541			WOS:000187286800009		
J	Barandela, R; Sanchez, JS; Garcia, V; Rangel, E				Garcia, Vicente/M-8257-2015; Sanchez, Jose Salvador/F-9767-2016	Garcia, Vicente/0000-0003-2820-2918; Sanchez, Jose Salvador/0000-0003-1053-4658			Strategies for learning in class imbalance problems								PATTERN RECOGNITION				36	3			849	851	PII S0031-3203(02)00257-1	10.1016/S0031-3203(02)00257-1			MAR 2003	2003																		0031-3203	1873-5142		WOS:000179732400023		
J	Bermejo, Pablo; Gamez, Jose A.; Puerta, Jose M.				Gamez, Jose A./K-5098-2014; Puerta, Jose M./K-5068-2014; Bermejo, Pablo/E-8455-2016	Gamez, Jose A./0000-0003-1188-1117; Puerta, Jose M./0000-0002-9164-5191; Bermejo, Pablo/0000-0001-7595-910X			Improving the performance of Naive Bayes multinomial in e-mail foldering by introducing distribution-based balance of datasets								EXPERT SYSTEMS WITH APPLICATIONS				38	3			2072	2080		10.1016/j.eswa.2010.07.146			MAR 2011	2011																		0957-4174	1873-6793		WOS:000284863200087		
S	Blaszczynski, Jerzy; Deckert, Magdalena; Stefanowski, Jerzy; Wilk, Szymon				Stefanowski, Jerzy/L-9359-2014; Deckert, Magdalena/M-1616-2014; Blaszczynski, Jerzy/M-1601-2014; Wilk, Szymon/K-1685-2014		Szczuka, M; Kryszkiewicz, M; Ramanna, S; Jensen, R; Hu, QH		Integrating Selective Pre-processing of Imbalanced Data with Ivotes Ensemble								ROUGH SETS AND CURRENT TRENDS IN COMPUTING, PROCEEDINGS		Lecture Notes in Artificial Intelligence		6086				148	157					2010	2010						7th International Conference on Rough Sets and Current Trends in Computing7th International Conference on Rough Sets and Current Trends in Computing	JUN 28-30, 2010JUN 28-30, 2010		Univ Warsaw, Warsaw, POLANDUniv Warsaw, Warsaw, POLAND									0302-9743		978-3-642-13528-6	WOS:000281605400017		
J	Bradley, AP				Bradley, Andrew/C-5685-2009	Bradley, Andrew/0000-0003-0109-6844			The use of the area under the roc curve in the evaluation of machine learning algorithms								PATTERN RECOGNITION				30	7			1145	1159		10.1016/S0031-3203(96)00142-2			JUL 1997	1997																		0031-3203			WOS:A1997XE56500009		
J	Breiman, L								Pasting small votes for classification in large databases and on-line								MACHINE LEARNING				36	1-2			85	103		10.1023/A:1007563306331			JUL 1999	1999						AAAI 1996 Workshop on Integrating Multiple Learned Models for Improving and Scaling Machine Learning AlgorithmsAAAI 1996 Workshop on Integrating Multiple Learned Models for Improving and Scaling Machine Learning Algorithms	AUG 05, 1996AUG 05, 1996		PORTLAND, ORPORTLAND, OR									0885-6125	1573-0565		WOS:000081389200005		
J	Breiman, L								Bagging predictors								MACHINE LEARNING				24	2			123	140		10.1007/BF00058655			AUG 1996	1996																		0885-6125			WOS:A1996UZ38000003		
J	Celebi, M. Emre; Kingravi, Hassan A.; Uddin, Bakhtiyar; Lyatornid, Hitoshi; Aslandogan, Y. Alp; Stoecker, William V.; Moss, Randy H.				Kingravi, Hassan/G-3302-2012; Celebi, M. Emre/G-2129-2012	Celebi, M. Emre/0000-0002-2721-6317			A methodological approach to the classification of dermoscopy images								COMPUTERIZED MEDICAL IMAGING AND GRAPHICS				31	6			362	373		10.1016/j.compmedimag.2007.01.003			SEP 2007	2007																		0895-6111			WOS:000248778500001	17387001	
